productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,colors,date,category
4270193,제이엠더블유,[무신사 단독패키지] 24년 8월 신상품 에어젯 울트라 프로 전문가용 1700W 터보 항공모터 헤어 드라이기,78000,51,697,131,1,0,,2024120120,beauty_items
4629918,포맨트,시그니처 퍼퓸  코튼허그 50ml 짱구 에디션,49000,17,388,75,2,0,,2024120120,beauty_items
4564862,멜리언스,실리콘 진동 클렌저,38900,35,361,79,3,0,,2024120120,beauty_items
4265741,포뷰트,[깡스타일리스트 PICK!] 헤어 볼륨 핀처,16900,43,262,149,4,0,,2024120120,beauty_items
3992824,에스트라,아토베리어365 크림 80ml 2개,59400,10,242,61,5,1,,2024120120,beauty_items
4199149,보다나,컴팩트 물결고데기 38mm 아이보리무드,50500,10,525,63,6,0,,2024120120,beauty_items
4187469,셀렉스,셀렉스 프로핏 밀크프로틴 드링크 모카초콜릿 250ml x 18개,25800,51,286,85,7,0,,2024120120,beauty_items
4268814,비비앙,오드퍼퓸 월넛크릭그린  EDP 50ml,79900,47,222,46,8,0,그린,2024120120,beauty_items
4566395,에스네이처,아쿠아 라이스 약산성 클렌징폼 160ml 2개입 [증정: 클렌징 오일 13ml + 젤 크림 30ml],27900,27,74,70,9,0,,2024120120,beauty_items
4249737,토리든,[깡스타일리스트 PICK][SET]  밸런스풀 시카 진정 세럼 70ml X 2개 (+다이브인 트라이얼 키트),38000,41,115,52,10,0,,2024120120,beauty_items
4187568,셀렉스,프로핏 밀크프로틴 드링크 밀크바닐라 250ml x 18개,25800,51,168,66,11,0,,2024120120,beauty_items
4254208,무신사 스탠다드 뷰티,[깡스타일리스트 Pick] 무신사 스탠다드 모시 헤이즈 EDP 50ml,37400,25,199,42,12,0,,2024120120,beauty_items
4280679,어바웃톤,스킨 레이어 핏 파운데이션(+사은품 증정),17500,38,378,110,13,1,,2024120120,beauty_items
4378228,어바웃톤,[2PACK] 스킨 레이어 핏 파운데이션(5color) + 스킨 레이어 커버 핏 컨실러(5color)(+사은품증정),24200,40,135,53,14,0,,2024120120,beauty_items
4153116,롬앤,[NEW] 베러 댄 컨투어+노즈 브러쉬,21900,32,160,51,15,0,,2024120120,beauty_items
4565729,롬앤,롬앤X이나피스퀘어 FULL MAKEUP BOX (누 제로 쿠션+베러 댄 치크+블러 퍼지 틴트+블랙스펙트럼 파우치),21600,57,461,48,16,0,블랙,2024120120,beauty_items
4237906,롬앤,롬앤X이나피스퀘어 LUCKY BOX (베러 댄 아이즈+베러 댄 치크+글래스팅 멜팅 밤+블랙스펙트럼 양말 랜덤 1종),19900,54,436,53,17,0,블랙,2024120120,beauty_items
4437931,닥터비타,모공케어 비타민B 포어 앤 세범 밸런싱 패드 180g (+사은품 증정),19800,56,129,49,18,0,,2024120120,beauty_items
4566333,디마프,히어로 마이 퍼스트 세럼 a.k.a. 만능기초 145ml *2PACK,34800,40,62,0,19,0,,2024120120,beauty_items
4615761,셀렉스,프로핏 드링크 바나나 250ml x 18개,25900,50,37,30,20,0,,2024120120,beauty_items
4259345,포맨트,시그니처 퍼퓸 코튼 브리즈 50ml 썸머그린 에디션,24000,70,148,32,21,0,그린,2024120120,beauty_items
4388016,무신사 스탠다드 뷰티,무신사 스탠다드 애프터 샤워 EDP 50ml,40900,18,60,0,22,0,,2024120120,beauty_items
4570363,비욘드,딥 모이스처 바디&핸드크림 2종기획세트 (홀리데이 에디션),25200,40,15,30,23,0,,2024120120,beauty_items
4343576,셀렉스,셀렉스 프로핏 100% 웨이프로틴(WPI)  파우더 초콜릿 1.035kg(단백질 27g x 총 23회분),47200,20,27,0,24,0,,2024120120,beauty_items
4603602,정샘물,정샘물 에센셜 스킨 누더 쿠션 (리필포함) - 홀리데이 에디션 + 물 미스트 55ml + 톤필터 2ml  2개+ 홀리데이 퍼 파우치,55250,15,62,0,25,0,,2024120120,beauty_items
4621811,포뷰트,[세트 구성]드롭셋 남자 옆머리 누르기 다운펌 + 헤어 볼륨 핀처,39900,38,21,0,26,0,,2024120120,beauty_items
4444149,비플레인,[조구만에디션]녹두 약산성 클렌징폼 200ml 세트(증정:핸드타올+스티커),19500,35,51,0,27,0,,2024120120,beauty_items
4412765,커리쉴,실키 오일 세럼 70ml,25000,0,12,0,28,0,,2024120120,beauty_items
4423052,엔트로피 메이크업,브로우 컬러 애쉬 브라운,42750,5,13,0,29,0,브라운,2024120120,beauty_items
4147497,비플레인,[2개] 시카테롤 진정보습 앰플 30ml,26000,50,27,0,30,0,,2024120120,beauty_items
4264751,삐아,NEW 글로우 틴트(6color),11500,18,204,30,31,0,,2024120120,beauty_items
4218799,헤라,블러쉬,47500,5,32,0,32,0,,2024120120,beauty_items
4255489,힌스,트루 디멘션 래디언스 밤,26100,10,91,0,33,0,,2024120120,beauty_items
4268742,포뷰트,[세트 구성] 헤어 볼륨 핀처 2개 세트,24500,54,78,0,34,0,,2024120120,beauty_items
4623100,퍼셀,20억/mL 픽셀바이옴 원액 듀오 (30mL + 30mL),74880,22,16,0,35,0,,2024120120,beauty_items
