productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,colors,date,category
4546849,갭 키즈,에디 패딩 부츠,38900,48,203,50,1,0,,2024120120,kids
4473539,내셔널지오그래픽 키즈,K244UDW940 안데스 덕 다운 점퍼 CARBONBLACK,199000,9,62,0,2,0,black,2024120120,kids
4223528,무신사 스탠다드 키즈,롱 다운 벤치 파카 [웜 그레이],89890,40,49,0,3,0,그레이,2024120120,kids
4621073,노스페이스 키즈,키즈 1996 워터 쉴드 눕시 다운 자켓 (RDS 다운) NJ1DQ56S_BLK,322200,10,53,0,4,0,,2024120120,kids
4475686,디스커버리 키즈,패밀리 레스터G RDS 구스다운 롱패딩 (BLACK),299000,0,17,0,5,0,black,2024120120,kids
4440794,폴로 랄프 로렌 칠드런,폴로 베어 크루넥 스웨터-네이비,289000,0,15,0,6,0,네이비,2024120120,kids
4638440,헌터 키즈,[JUNIOR] 인/아웃 패딩 부티 - 블랙 HBJ0001FSUBLK,129000,0,25,0,7,0,블랙,2024120120,kids
4608970,노스페이스 키즈,키즈 익스플로링 하이브리드 다운 코트 NJ1DQ63S_BLK,268000,0,15,0,8,0,,2024120120,kids
4440772,폴로 랄프 로렌 칠드런,코튼 포플린 셔츠-네이비,104300,30,31,0,9,0,네이비,2024120120,kids
4353782,다이치,리우 신생아 아기침대+트래블백,209000,42,10,0,10,0,,2024120120,kids
4340270,노스페이스 키즈,키즈 1996 에코 눕시 RDS 다운 자켓 NJ1DQ52X_IGR,298000,0,26,0,11,0,,2024120120,kids
4350206,로토토베베,솔트딱붙실내복(6color),18000,31,21,0,12,0,,2024120120,kids
4530401,아디다스 키즈,삼바 OG - 블랙 / IE3678,66790,25,43,0,13,0,블랙,2024120120,kids
4296638,노스페이스 키즈,키즈 부띠 쇼트 NS96Q58A_BLK,116100,10,31,0,14,0,,2024120120,kids
4546850,갭 키즈,일라 패딩 부츠,38900,48,67,0,15,0,,2024120120,kids
4350355,로토토베베,솔트헐랭실내복(7color),18000,31,28,0,16,0,,2024120120,kids
4223552,무신사 스탠다드 키즈,데일리 푸퍼 리버서블 체크 숏 패딩 재킷 [탠저린/블랙],75890,5,15,0,17,0,블랙,2024120120,kids
4562811,루솔,진한 배도라지즙 선물박스(120포) 배즙,94900,41,14,0,18,0,,2024120120,kids
4496782,아디다스 키즈,슈퍼스타 360 2.0 부츠 - 블랙 / ID9723,69290,30,45,0,19,0,블랙,2024120120,kids
4537478,스노우피크 어패럴 키즈,키즈 롱 다운 자켓 (S24WKFDJ82) Black,284050,5,12,0,20,0,black,2024120120,kids
4496781,아디다스 키즈,슈퍼스타 360 2.0 부츠 - 알루미늄 / ID4049,69290,30,11,0,21,0,,2024120120,kids
4485466,코닥 키즈,브라우니 시그니처 다운자켓 키즈 BLACK,265050,5,0,0,22,0,black,2024120120,kids
4419296,아디다스 키즈,슈퍼스타 360 헬로키티 IF7020,40490,55,10,0,23,0,,2024120120,kids
4522463,아디다스 키즈,슈퍼스타 360 2.0 부츠 인펀트 - 알루미늄 / ID4048,62290,30,19,0,24,0,,2024120120,kids
4593205,휠라 키즈,미러볼 부츠 V2 KD(3HM02380G100),79000,0,10,0,25,0,,2024120120,kids
4496783,아디다스 키즈,슈퍼스타 360 2.0 부츠 인펀트 - 블랙 / ID9724,62290,30,17,0,26,0,블랙,2024120120,kids
4621069,노스페이스 키즈,키즈 고 프리 RDS 다운 자켓 NJ1DQ64T_CRE,238000,0,0,0,27,0,,2024120120,kids
4124014,무신사 스탠다드 키즈,기모 와이드 밴딩 데님 팬츠 [워시드 블랙],42390,15,26,0,28,0,블랙,2024120120,kids
4466645,지프키즈,컴패스 와펜 다운점퍼(KP4JPU491LR),229000,0,0,0,29,0,,2024120120,kids
4542981,노스페이스 키즈,키즈 히말라얀 코트 (RDS 다운) NJ1DQ51T_NAV,598000,0,0,0,30,0,,2024120120,kids
4462420,마리떼키즈,ENFANT BASIC GOOSE DOWN PUFFER black,220150,15,11,0,31,0,black,2024120120,kids
4210292,무신사 스탠다드 키즈,속기모 원 턱 와이드 밴딩 치노 팬츠 [베이지],39790,15,13,0,32,0,,2024120120,kids
4473536,내셔널지오그래픽 키즈,K244UDW940 안데스 덕 다운 점퍼 BONE,199000,9,17,0,33,0,,2024120120,kids
4473540,내셔널지오그래픽 키즈,K244UDW940 안데스 덕 다운 점퍼 MINTGREEN,199000,9,0,0,34,0,green,2024120120,kids
4609517,내셔널지오그래픽 키즈,K224UDW080 어드벤처 헤비 다운 점퍼 CARBONBLACK,195300,30,27,0,35,0,black,2024120120,kids
4621156,노스페이스 키즈,키즈 스트랩 뮬 NS96Q64S_BLK,89100,10,10,0,36,0,,2024120120,kids
4388805,노스페이스 키즈,키즈 고 프리 RDS 다운 자켓 NJ1DQ64S_BLK,238000,0,14,0,37,0,,2024120120,kids
4506970,산리오 키즈,시나모롤 몰트 라이팅 방한샌들,16900,37,21,0,38,0,,2024120120,kids
4293665,디스커버리 키즈,키즈 이노블럭 플리스 숏패딩 (L/BEIGE),87600,60,10,0,39,0,,2024120120,kids
4566288,플레이키즈프로,나이키  스우시 봄버다운자켓 (주니어) 블랙,169000,0,0,0,40,0,블랙,2024120120,kids
4210291,무신사 스탠다드 키즈,속기모 원 턱 와이드 밴딩 치노 팬츠 [블랙],39790,15,13,0,41,0,블랙,2024120120,kids
4631661,애들랜드,슈팅스타 캐치티니핑 티니핑 슈팅스타 팩트 시즌5 장난감,93900,21,60,0,42,0,,2024120120,kids
4273564,무신사 스탠다드 키즈,폴라 플리스 베리어블 라운지 스웨트 팬츠 [블랙],28790,15,12,0,43,0,블랙,2024120120,kids
4295953,유팡,시그니처2 UP920A 젖병소독기 택1,428000,0,18,0,44,0,,2024120120,kids
4437456,아디다스 키즈,삼바 홈 인펀트 - 블랙 / IE6537,33990,42,48,0,45,0,블랙,2024120120,kids
4223567,무신사 스탠다드 키즈,플리스 더플 패딩 파카 [베이지],110390,15,51,0,46,0,,2024120120,kids
4515064,마크곤잘레스 키즈,엔젤 에센셜 다운점퍼-블랙,132300,30,13,0,47,0,블랙,2024120120,kids
4253705,폴로 랄프 로렌 칠드런,여아 7-16세 미니 케이블 코튼 카디건-RL 2000 레드,169000,0,10,0,48,0,,2024120120,kids
4250460,젤리멜로,레오파드 리버시블 퀼팅자켓_카키,128700,10,0,0,49,0,,2024120120,kids
4559745,노스페이스 키즈,키즈 플리스 웜 캡 NE3CQ54R_CRE,62100,10,17,0,50,0,,2024120120,kids
4350453,로토토베베,솔트소프트셋업(3color),24000,37,19,0,51,0,,2024120120,kids
