productId,date,views,likes,rating,ratingCount
2723767,2024120220,880000,118704,4.9,21930.0
2149254,2024120220,280000,111463,4.9,65951.0
4509977,2024120220,330000,16588,4.8,275.0
2086653,2024120220,120000,125200,4.9,67201.0
1582356,2024120220,190000,82345,4.8,22525.0
2990516,2024120220,420000,98393,4.8,9448.0
4326536,2024120220,410000,36572,4.8,556.0
4349548,2024120220,180000,8152,4.9,843.0
4480309,2024120220,560000,45916,4.7,209.0
3669072,2024120220,110000,3816,4.9,170.0
4285909,2024120220,460000,36221,4.8,1183.0
4421530,2024120220,380000,16853,4.9,176.0
1817394,2024120220,140000,77878,4.7,10744.0
3495320,2024120220,110000,22351,4.9,7353.0
3640947,2024120220,180000,74287,4.8,3775.0
4302685,2024120220,200000,52496,4.7,1598.0
4328686,2024120220,200000,19873,4.8,179.0
1558847,2024120220,60000,60672,4.8,35117.0
994588,2024120220,90000,75446,4.7,12248.0
3791891,2024120220,100000,78142,4.8,11500.0
3539904,2024120220,120000,12738,4.9,2009.0
2684357,2024120220,160000,30950,4.9,1797.0
3640949,2024120220,110000,46364,4.8,2698.0
2314616,2024120220,70000,66523,4.8,16467.0
3546288,2024120220,180000,15731,4.9,535.0
2139775,2024120220,130000,40435,4.8,5367.0
2122566,2024120220,30000,36254,4.9,31316.0
2990274,2024120220,170000,31601,4.8,4262.0
1208839,2024120220,60000,56998,4.8,20306.0
3533480,2024120220,80000,76861,4.8,5366.0
2990463,2024120220,100000,21167,4.8,1929.0
947067,2024120220,90000,38875,4.8,27907.0
2722805,2024120220,80000,61907,4.8,4373.0
3012570,2024120220,70000,61397,4.8,4359.0
4324518,2024120220,150000,15190,4.4,65.0
4288950,2024120220,110000,15722,4.8,505.0
3066189,2024120220,80000,13232,4.8,1577.0
3475395,2024120220,170000,31039,4.8,3261.0
404474,2024120220,140000,96225,4.7,52793.0
4328682,2024120220,120000,10469,4.8,151.0
2684358,2024120220,100000,47482,4.9,5174.0
2226767,2024120220,40000,46636,4.9,9707.0
3050501,2024120220,50000,9555,4.9,2607.0
2058188,2024120220,60000,74618,4.9,9870.0
2338457,2024120220,90000,53267,4.8,4004.0
4584154,2024120220,70000,3900,4.9,97.0
1615829,2024120220,50000,82899,4.9,22168.0
2692476,2024120220,40000,13791,4.8,1041.0
2194649,2024120220,60000,75016,4.8,7460.0
4388024,2024120220,130000,12865,4.9,2788.0
3223007,2024120220,70000,14428,4.8,2913.0
854337,2024120220,30000,30261,4.8,25371.0
4394773,2024120220,60000,15159,4.8,252.0
3417709,2024120220,80000,24670,4.8,2943.0
2109937,2024120220,50000,29591,4.8,2809.0
4265248,2024120220,130000,15682,4.8,352.0
2043056,2024120220,50000,52602,4.8,8194.0
2757451,2024120220,70000,32517,4.9,9516.0
2970542,2024120220,80000,51804,4.8,3166.0
4467040,2024120220,30000,2081,4.9,31.0
4299296,2024120220,130000,9362,4.8,541.0
2970541,2024120220,50000,47305,4.9,3834.0
3463298,2024120220,100000,25545,4.9,1819.0
4341053,2024120220,50000,2661,4.9,99.0
4440029,2024120220,80000,29412,4.8,235.0
4480313,2024120220,210000,18118,4.9,141.0
3539902,2024120220,100000,19433,4.8,1392.0
2995119,2024120220,60000,77870,4.8,6259.0
4314115,2024120220,160000,6168,4.9,369.0
4481198,2024120220,50000,2727,4.6,440.0
1336836,2024120220,40000,33779,4.8,10144.0
1139175,2024120220,50000,38606,4.9,29043.0
2683549,2024120220,50000,24966,4.9,4830.0
4375639,2024120220,60000,11760,4.8,313.0
4387116,2024120220,50000,4394,4.9,64.0
3465171,2024120220,140000,43456,4.8,5786.0
4328687,2024120220,80000,6684,4.8,105.0
4422975,2024120220,100000,4723,4.9,27.0
2105452,2024120220,30000,31591,4.9,5627.0
876284,2024120220,30000,36125,4.7,13507.0
1642904,2024120220,40000,17886,4.9,8112.0
1628939,2024120220,30000,15933,4.9,8364.0
4514674,2024120220,110000,5359,4.9,23.0
3539905,2024120220,90000,16853,4.8,1618.0
3451265,2024120220,40000,16006,4.9,958.0
4619622,2024120220,90000,4897,4.8,4344.0
1548435,2024120220,20000,18254,4.9,7618.0
4305227,2024120220,110000,2904,4.8,87.0
4397049,2024120220,40000,8188,4.8,179.0
659554,2024120220,20000,54643,4.7,62632.0
1629142,2024120220,20000,7242,4.9,3288.0
2034137,2024120220,30000,58351,4.9,43333.0
2705733,2024120220,20000,11766,4.9,5429.0
1685307,2024120220,20000,20513,4.8,18882.0
3481826,2024120220,20000,6696,4.9,3151.0
3286918,2024120220,40000,10002,4.7,857.0
2990438,2024120220,50000,34436,4.8,2430.0
3452344,2024120220,40000,11248,4.9,387.0
2184395,2024120220,90000,25814,4.8,2222.0
3735510,2024120220,30000,2705,4.9,702.0
4454673,2024120220,70000,5941,4.8,79.0
4328688,2024120220,80000,5988,4.8,95.0
4285379,2024120220,40000,13137,4.8,124.0
4279994,2024120220,30000,4613,4.8,159.0
3442674,2024120220,50000,22912,4.9,967.0
4071966,2024120220,90000,33106,4.7,289.0
3539903,2024120220,60000,9616,4.8,940.0
2302738,2024120220,30000,32692,4.8,2452.0
4405632,2024120220,60000,5637,4.8,61.0
2734776,2024120220,40000,7268,4.9,815.0
2722795,2024120220,30000,15505,4.9,1031.0
4329700,2024120220,70000,3188,4.9,139.0
1642903,2024120220,16000,10317,4.9,5742.0
655833,2024120220,30000,15658,4.7,7100.0
3019653,2024120220,80000,5390,4.9,1633.0
1620237,2024120220,20000,6289,4.9,1031.0
4450944,2024120220,60000,3673,4.9,87.0
2726744,2024120220,30000,10923,4.9,2146.0
2759813,2024120220,50000,38312,4.6,1610.0
2725585,2024120220,30000,48539,4.9,4431.0
4280128,2024120220,40000,8670,4.8,140.0
2970544,2024120220,40000,49277,4.9,3303.0
2814469,2024120220,130000,9863,4.8,928.0
3675284,2024120220,60000,28667,4.8,2424.0
4425280,2024120220,100000,6991,4.8,71.0
4467468,2024120220,50000,1905,4.9,267.0
2778674,2024120220,30000,11514,4.7,2457.0
3494992,2024120220,130000,35354,4.8,4184.0
2139704,2024120220,20000,8127,4.8,5367.0
4440027,2024120220,40000,10039,4.6,101.0
4496913,2024120220,50000,5015,4.9,37.0
4348548,2024120220,40000,13767,4.8,89.0
2096583,2024120220,50000,24462,4.8,2115.0
4531158,2024120220,90000,9402,5.0,50.0
4351643,2024120220,80000,20322,4.6,100.0
3539176,2024120220,50000,30685,4.8,3234.0
4483619,2024120220,60000,7360,4.9,30.0
876277,2024120220,20000,17276,4.8,8944.0
4227437,2024120220,70000,15162,4.7,826.0
4612418,2024120220,80000,5881,,
2705740,2024120220,20000,6783,4.9,2857.0
4378833,2024120220,20000,2431,4.8,43.0
3833439,2024120220,30000,1776,4.9,876.0
4421529,2024120220,90000,4075,4.8,62.0
2697813,2024120220,70000,48506,4.8,3949.0
4567880,2024120220,60000,6817,4.9,7.0
4249938,2024120220,12000,379,4.9,13.0
843276,2024120220,20000,23127,4.8,6422.0
4424524,2024120220,50000,3117,4.8,61.0
4446128,2024120220,40000,8831,4.8,83.0
3777727,2024120220,20000,1672,4.9,248.0
3442679,2024120220,60000,51314,4.8,1521.0
4279928,2024120220,40000,8357,4.8,552.0
2419002,2024120220,20000,7115,4.9,1420.0
3727680,2024120220,20000,9663,4.9,650.0
4319449,2024120220,40000,6556,4.8,35.0
2723764,2024120220,140000,71279,4.8,12770.0
4361219,2024120220,30000,1300,4.9,98.0
2091652,2024120220,20000,5345,4.9,611.0
1875849,2024120220,11000,8059,4.9,5438.0
996177,2024120220,19000,82218,4.8,88374.0
4265253,2024120220,20000,2701,4.9,188.0
2785403,2024120220,40000,14024,4.8,748.0
4329587,2024120220,40000,9761,4.8,221.0
1710327,2024120220,40000,53099,4.8,18733.0
4319472,2024120220,30000,2851,4.9,130.0
3539169,2024120220,60000,16676,4.8,1308.0
3417707,2024120220,20000,9279,4.8,1804.0
3650001,2024120220,50000,27160,4.8,766.0
4421709,2024120220,40000,2398,4.8,44.0
3458174,2024120220,20000,4673,4.8,1983.0
3856743,2024120220,90000,49071,4.8,4942.0
3302463,2024120220,40000,7424,4.9,2300.0
3656142,2024120220,60000,3642,4.9,184.0
1599217,2024120220,30000,76927,4.7,13130.0
4316117,2024120220,50000,5117,4.9,74.0
1248490,2024120220,20000,5426,4.8,1518.0
1642887,2024120220,18000,13801,4.9,9739.0
4306299,2024120220,30000,6313,4.8,711.0
4439440,2024120220,90000,19196,4.7,160.0
2771471,2024120220,11000,2368,4.8,717.0
4390385,2024120220,40000,2962,4.9,71.0
4311874,2024120220,30000,13660,4.8,137.0
2043588,2024120220,30000,49791,4.9,6439.0
4265231,2024120220,40000,2903,4.9,136.0
4265255,2024120220,30000,4628,4.9,89.0
4320380,2024120220,30000,2561,4.9,95.0
3667321,2024120220,30000,11834,4.8,249.0
4512312,2024120220,70000,4060,4.8,40.0
2305840,2024120220,20000,26845,4.9,7869.0
4597373,2024120220,20000,1171,5.0,14.0
3562068,2024120220,18000,9794,5.0,6078.0
2374788,2024120220,18000,7396,4.9,2325.0
4421630,2024120220,60000,3700,4.8,113.0
2081571,2024120220,30000,6432,4.8,929.0
2913659,2024120220,30000,33542,4.8,2525.0
3158061,2024120220,20000,13277,4.9,5321.0
2837412,2024120220,350000,79640,4.7,1558.0
4265193,2024120220,40000,4231,4.8,188.0
2396645,2024120220,180000,108261,4.8,32754.0
4312423,2024120220,40000,10005,4.8,39.0
4427040,2024120220,60000,6154,4.7,88.0
2913656,2024120220,40000,90275,4.8,4430.0
4384143,2024120220,40000,4360,4.9,50.0
2718818,2024120220,20000,21524,4.8,2248.0
2111422,2024120220,20000,4794,4.9,2117.0
4265243,2024120220,40000,2994,4.9,150.0
2723763,2024120220,100000,40329,4.9,8518.0
4342389,2024120220,100000,20015,4.8,240.0
3533479,2024120220,30000,27324,4.8,1739.0
4186471,2024120220,30000,10257,4.8,607.0
2702396,2024120220,90000,83759,4.8,22304.0
1574264,2024120220,20000,10880,4.9,1715.0
1144989,2024120220,15000,59546,4.8,71536.0
3451036,2024120220,80000,12387,4.9,1598.0
1706633,2024120220,16000,18433,4.9,4158.0
4280139,2024120220,20000,3599,4.9,51.0
983339,2024120220,20000,21725,4.8,15655.0
2106705,2024120220,20000,72839,4.9,8924.0
2139133,2024120220,20000,31282,4.9,25900.0
3533482,2024120220,30000,30552,4.9,1523.0
4376346,2024120220,70000,13275,4.5,59.0
4307540,2024120220,50000,8267,4.9,81.0
4505375,2024120220,40000,4548,4.8,50.0
3498319,2024120220,160000,30842,4.8,4263.0
3735509,2024120220,19000,1993,4.9,590.0
3773867,2024120220,14000,30638,4.9,5519.0
3781655,2024120220,20000,5479,4.8,326.0
4445975,2024120220,50000,2088,4.9,129.0
2870838,2024120220,20000,24897,4.9,1808.0
3435628,2024120220,30000,5742,4.9,2396.0
4346438,2024120220,30000,10966,4.7,191.0
4330937,2024120220,20000,1992,5.0,76.0
2104878,2024120220,40000,33673,4.7,1524.0
4378832,2024120220,16000,878,4.9,35.0
2186292,2024120220,14000,35820,4.8,23107.0
3444706,2024120220,20000,5912,4.8,159.0
4468339,2024120220,19000,791,4.8,22.0
4309109,2024120220,40000,4241,4.9,32.0
3540248,2024120220,30000,43912,4.8,4345.0
4521033,2024120220,13000,522,4.9,21.0
4343184,2024120220,30000,2137,4.8,81.0
3530581,2024120220,19000,8679,4.9,538.0
4330179,2024120220,40000,10740,4.8,90.0
4389518,2024120220,20000,2751,4.9,61.0
728000,2024120220,16000,20039,4.7,19665.0
4390380,2024120220,20000,1821,4.9,38.0
4424539,2024120220,20000,1866,4.9,86.0
4451137,2024120220,20000,1178,4.8,22.0
4307041,2024120220,40000,7493,4.9,138.0
4325156,2024120220,20000,1659,4.9,64.0
4291462,2024120220,7900,604,4.9,14.0
2314617,2024120220,16000,14308,4.8,4296.0
4526960,2024120220,19000,1512,5.0,21.0
3603134,2024120220,20000,8838,4.8,572.0
2690691,2024120220,20000,36025,4.9,24004.0
3083790,2024120220,20000,34918,4.9,1666.0
3886780,2024120220,11000,3139,4.9,1134.0
4287409,2024120220,80000,6606,4.8,104.0
3877567,2024120220,20000,2504,4.9,92.0
1586586,2024120220,60000,47868,4.8,1435.0
3782754,2024120220,30000,10929,4.8,472.0
1498105,2024120220,10000,10517,4.9,3834.0
345889,2024120220,14000,56824,4.8,19463.0
2183910,2024120220,20000,8166,4.9,474.0
4249939,2024120220,16000,1007,4.9,20.0
4542527,2024120220,40000,2928,5.0,2.0
2518417,2024120220,30000,61923,4.7,6021.0
3448767,2024120220,30000,4966,4.9,302.0
2313388,2024120220,30000,116575,4.8,5569.0
4420587,2024120220,60000,17462,4.8,188.0
3549188,2024120220,40000,17463,4.7,396.0
