productId,date,views,likes,rating,ratingCount,totalSales
4371012,2024120120,60000,200000,5.0,3.0,0
4589098,2024120120,1700,7900,4.7,3.0,0
4507335,2024120120,320000,200000,4.9,117.0,2400
4328804,2024120120,900,46000,,,0
4502588,2024120120,40000,200000,4.8,13.0,0
4593750,2024120120,850,5800,5.0,1.0,0
4202772,2024120120,30000,200000,5.0,1.0,0
4496170,2024120120,19000,140000,5.0,13.0,0
4452183,2024120120,230000,200000,4.9,341.0,4500
4201520,2024120120,11000,140000,4.9,28.0,0
4541879,2024120120,12000,8700,5.0,4.0,0
4550090,2024120120,0,5200,,,0
4457147,2024120120,30000,200000,5.0,1.0,0
4502604,2024120120,7100,79000,4.2,22.0,0
4502617,2024120120,20000,200000,5.0,6.0,0
4492190,2024120120,7100,20000,5.0,4.0,0
4470119,2024120120,180000,200000,4.9,36.0,0
4509369,2024120120,0,4500,,,0
4457231,2024120120,12000,66000,5.0,7.0,0
4374819,2024120120,250,21000,,,0
4312034,2024120120,40000,280000,4.9,23.0,0
4343634,2024120120,650,100000,,,0
4545221,2024120120,16000,200000,4.9,8.0,0
4289228,2024120120,1200,34000,5.0,1.0,0
4356158,2024120120,13000,150000,4.7,3.0,0
4422025,2024120120,850,43000,4.8,6.0,0
4374891,2024120120,13000,200000,5.0,10.0,0
4226785,2024120120,950,47000,,,0
4374732,2024120120,9400,200000,5.0,3.0,0
4502795,2024120120,700,46000,,,0
4502935,2024120120,30000,31000,4.8,12.0,0
4264704,2024120120,70000,280000,4.9,157.0,1600
4442080,2024120120,6900,220000,4.8,4.0,0
4502788,2024120120,17000,150000,4.8,115.0,0
4523101,2024120120,0,4700,,,0
4537667,2024120120,4400,84000,5.0,4.0,0
4201382,2024120120,2200,79000,4.5,5.0,0
4356163,2024120120,18000,280000,5.0,3.0,0
4452180,2024120120,7100,1800,4.5,15.0,0
4405516,2024120120,15000,200000,5.0,4.0,0
4537664,2024120120,0,14000,,,0
4457067,2024120120,11000,150000,4.9,2030.0,1300
4537666,2024120120,200,6100,,,0
4375129,2024120120,11000,200000,4.5,4.0,0
4497287,2024120120,850,45000,,,0
4285460,2024120120,140000,89000,4.9,150.0,1500
4503186,2024120120,150,2800,,,0
4627817,2024120120,2400,11000,,,0
4548284,2024120120,950,130000,4.0,1.0,0
4501461,2024120120,10000,200000,5.0,3.0,0
4234923,2024120120,750,73000,,,0
4551487,2024120120,60000,60000,5.0,124.0,1900
4222747,2024120120,550,17000,,,0
4394649,2024120120,11000,84000,4.9,7.0,0
4551469,2024120120,400,53000,5.0,3.0,0
4464038,2024120120,5000,200000,4.8,4.0,0
4563123,2024120120,950,6000,5.0,5.0,0
4517602,2024120120,12000,200000,5.0,4.0,0
4245515,2024120120,800,38000,,,0
4421919,2024120120,5100,13000,5.0,1.0,0
4531315,2024120120,0,47000,,,0
4508262,2024120120,850,150000,,,0
4482572,2024120120,400,1600,,,0
4557498,2024120120,6000,200000,5.0,3.0,0
4421592,2024120120,400,53000,,,0
4612471,2024120120,6600,84000,4.9,8.0,0
4558607,2024120120,550,12000,,,0
4466967,2024120120,800,913,5.0,7.0,0
4319321,2024120120,300,65000,5.0,1.0,0
4546109,2024120120,4400,84000,5.0,4.0,0
4563100,2024120120,1500,5800,5.0,5.0,0
4442079,2024120120,7200,150000,5.0,1.0,0
4501462,2024120120,3600,79000,4.8,8.0,0
4563068,2024120120,110000,200000,4.9,33.0,0
4548286,2024120120,0,58000,,,0
4201989,2024120120,3600,12000,5.0,2.0,0
4371041,2024120120,10000,63000,4.7,20.0,0
4577713,2024120120,60000,280000,4.9,68.0,0
4525646,2024120120,850,6100,5.0,1.0,0
4518023,2024120120,30000,28000,4.7,21.0,0
4496166,2024120120,1400,20000,,,0
4372819,2024120120,5600,37000,4.9,15.0,0
4289227,2024120120,300,67000,5.0,1.0,0
4557500,2024120120,20000,360000,4.9,35.0,0
4489820,2024120120,150,139,,,0
4284490,2024120120,1500,66000,5.0,2.0,0
4341208,2024120120,100,11000,,,0
4503558,2024120120,16000,280000,5.0,11.0,0
4172859,2024120120,100,2900,,,0
4522544,2024120120,450,66000,4.0,1.0,0
4502243,2024120120,400,12000,,,0
4531317,2024120120,10000,84000,4.9,12.0,0
4193867,2024120120,550,73000,,,0
4415142,2024120120,1000,37000,5.0,1.0,0
4457181,2024120120,200,73000,,,0
4201442,2024120120,12000,38000,4.9,540.0,0
4394978,2024120120,1400,260000,5.0,3.0,0
4494837,2024120120,3200,35000,,,0
4503173,2024120120,500,8600,,,0
4307391,2024120120,4900,200000,5.0,1.0,0
4523100,2024120120,0,20000,,,0
4213234,2024120120,6000,66000,3.0,1.0,0
4194251,2024120120,10000,140000,4.8,33.0,0
4566175,2024120120,750,12000,,,0
4557489,2024120120,250,27000,,,0
4265877,2024120120,2900,13000,,,0
4270591,2024120120,400,15000,,,0
4502797,2024120120,20000,200000,5.0,2.0,0
4621779,2024120120,450,110000,5.0,1.0,0
4382140,2024120120,2100,660000,5.0,4.0,0
4356159,2024120120,200,2900,,,0
4326452,2024120120,8400,200000,4.8,18.0,0
4457252,2024120120,850,85000,4.9,8.0,0
4483656,2024120120,800,12000,,,0
4550081,2024120120,150,12000,,,0
4501316,2024120120,20000,290000,4.9,9.0,0
4265872,2024120120,2300,1800,5.0,1.0,0
4198769,2024120120,1800,11000,,,0
4589966,2024120120,2200,790,,,0
4579112,2024120120,1700,200000,5.0,1.0,0
4385586,2024120120,0,1100,,,0
4409448,2024120120,5300,13000,5.0,1.0,0
4226119,2024120120,5900,130000,4.8,13.0,0
4558767,2024120120,11000,31000,5.0,6.0,0
4421920,2024120120,5900,20000,4.7,62.0,0
4365275,2024120120,6700,12000,5.0,5.0,0
4409450,2024120120,7600,18000,4.7,11.0,0
4578536,2024120120,2400,280000,,,0
4531316,2024120120,1000,240000,4.0,2.0,0
4278788,2024120120,7900,12000,5.0,7.0,0
