productId,date,views,likes,rating,ratingCount,totalSales
4633419,2024120120,1700,7900,4.7,3.0,0
4286631,2024120120,320000,660000,4.9,478.0,8000
4241903,2024120120,900,46000,,,0
4349548,2024120120,40000,31000,4.8,28.0,0
4410061,2024120120,850,5800,5.0,1.0,0
4604451,2024120120,60000,32000,5.0,7.0,0
4595695,2024120120,19000,140000,5.0,13.0,0
4507921,2024120120,60000,660000,4.7,42.0,1100
4286964,2024120120,11000,140000,4.9,28.0,0
4548961,2024120120,50000,17000,5.0,7.0,0
4368458,2024120120,0,5200,,,0
4464735,2024120120,70000,81000,4.9,103.0,2000
4548940,2024120120,7100,79000,4.2,22.0,0
4604316,2024120120,20000,31000,5.0,41.0,0
4287121,2024120120,7100,20000,5.0,4.0,0
4420185,2024120120,70000,660000,4.9,53.0,1200
4518130,2024120120,0,4500,,,0
4383452,2024120120,260000,81000,4.8,228.0,6700
4495565,2024120120,250,21000,,,0
4595693,2024120120,17000,660000,4.9,197.0,1600
4508146,2024120120,650,100000,,,0
4327162,2024120120,30000,22000,5.0,4.0,0
4548667,2024120120,1200,34000,5.0,1.0,0
4305227,2024120120,80000,32000,4.8,42.0,0
4437107,2024120120,850,43000,4.8,6.0,0
4447479,2024120120,60000,26000,4.9,201.0,1000
4541715,2024120120,950,47000,,,0
4528979,2024120120,30000,26000,4.8,85.0,0
4616801,2024120120,700,46000,,,0
4470917,2024120120,30000,31000,4.8,12.0,0
4478554,2024120120,15000,360000,4.9,7.0,0
4297879,2024120120,6900,220000,4.8,4.0,0
4354344,2024120120,20000,31000,4.8,24.0,0
3479992,2024120120,0,4700,,,0
4548659,2024120120,30000,69000,4.7,22.0,0
4511958,2024120120,2200,79000,4.5,5.0,0
4540951,2024120120,17000,32000,4.9,13.0,0
4525082,2024120120,7100,1800,4.5,15.0,0
4456849,2024120120,20000,360000,4.5,11.0,0
4518187,2024120120,0,14000,,,0
4548969,2024120120,40000,81000,4.7,43.0,0
3479991,2024120120,200,6100,,,0
4508008,2024120120,30000,660000,4.9,109.0,0
4502357,2024120120,850,45000,,,0
4507204,2024120120,30000,32000,4.9,8.0,0
4305217,2024120120,150,2800,,,0
4505876,2024120120,4400,660000,5.0,4.0,0
4589011,2024120120,950,130000,4.0,1.0,0
4475344,2024120120,50000,660000,4.8,63.0,0
4548853,2024120120,750,73000,,,0
4501635,2024120120,16000,200000,5.0,3.0,0
4329700,2024120120,550,17000,,,0
4543819,2024120120,40000,11000,4.9,120.0,0
4527701,2024120120,400,53000,5.0,3.0,0
4455414,2024120120,30000,33000,4.9,26.0,0
4548709,2024120120,950,6000,5.0,5.0,0
4619234,2024120120,4400,290000,,,0
4559233,2024120120,800,38000,,,0
4287112,2024120120,70000,65000,4.9,23.0,0
4393594,2024120120,0,47000,,,0
4551518,2024120120,30000,84000,4.9,25.0,0
4439688,2024120120,400,1600,,,0
4616821,2024120120,20000,290000,4.9,19.0,0
4604288,2024120120,400,53000,,,0
4482108,2024120120,650,76,,,0
4507202,2024120120,550,12000,,,0
4569206,2024120120,13000,57000,5.0,8.0,0
4421592,2024120120,300,65000,5.0,1.0,0
4457971,2024120120,16000,360000,4.9,15.0,0
4507187,2024120120,1500,5800,5.0,5.0,0
4327132,2024120120,11000,360000,4.8,14.0,0
4504359,2024120120,3600,79000,4.8,8.0,0
4583511,2024120120,20000,26000,4.5,4.0,0
4565779,2024120120,0,58000,,,0
4506787,2024120120,50000,4300,4.8,206.0,3500
4462480,2024120120,10000,63000,4.7,20.0,0
4610874,2024120120,4700,360000,4.9,8.0,0
4297861,2024120120,850,6100,5.0,1.0,0
4546383,2024120120,20000,150000,4.3,3.0,0
4502117,2024120120,1400,20000,,,0
4226102,2024120120,6100,89000,5.0,21.0,0
4218463,2024120120,300,67000,5.0,1.0,0
4498488,2024120120,70000,290000,4.9,64.0,0
4405500,2024120120,150,139,,,0
4427600,2024120120,12000,360000,4.9,154.0,0
