productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,totalSales,colors,date,category
2482269,노스페이스,NJ1DQ75A 남성 1996 에코 눕시 자켓_BLACK,399000,0,1200,112,1,0,23000,black,2024120220,outers
3378514,무신사 스탠다드,데일리 푸퍼 숏 패딩 재킷 [블랙],41890,40,1900,239,2,0,36000,블랙,2024120220,outers
2098325,드로우핏,프리미어 퓨어 캐시미어 발마칸 코트 [BLACK],215600,30,991,75,3,0,22000,black,2024120220,outers
4286631,노스페이스,NJ3NQ53A 남성 눕시 온볼 자켓_BLACK,249000,0,771,37,4,0,5700,black,2024120220,outers
4619625,디스이즈네버댓,PERTEX® T Down Jacket,167300,30,1000,109,5,0,6500,,2024120220,outers
2108160,스파오,베이직 퍼플리스 집업_SPFZE4TC01,26900,10,671,114,6,0,230000,,2024120220,outers
2782764,비슬로우,OVERSIZED CASHMERE BALMACAAN COAT BLACK,269250,25,416,37,7,0,13000,black,2024120220,outers
4460716,디스이즈네버댓,PERTEX® T Down Jacket Black,191200,20,115,0,8,0,5400,black,2024120220,outers
3481219,쿠어,벨란디 캐시미어 블렌드 발마칸 코트 (블랙),359100,10,370,34,9,0,8100,블랙,2024120220,outers
2700048,무신사 스탠다드 우먼,우먼즈 캐시미어 블렌드 발마칸 로브 코트 [블랙],178390,15,548,48,10,0,16000,블랙,2024120220,outers
4241903,노스페이스,NJ1DQ80J 화이트라벨 여성 노벨티 눕시 RDS 다운 자켓_BLACK,368000,0,651,0,11,0,2500,black | 화이트,2024120220,outers
3783092,디미트리블랙,[기모선택] ASI 포시즌 에센셜 피그먼트 후드집업_차콜 그레이,30500,40,719,152,12,0,49000,그레이 | 차콜,2024120220,outers
4531994,스파오,베이직 패딩,54522,22,1600,190,13,0,9100,,2024120220,outers
3780728,맨인스토어 프로덕트,남여공용 푸퍼 숏패딩_Black,49900,64,628,79,14,0,10000,black,2024120220,outers
3440439,커스텀어클락,커브드 투웨이 항공 패딩 점퍼 5COLOR COOSJP045,53750,52,673,80,15,0,9800,,2024120220,outers
1778404,토피,2WAY 스웻 후드 집업 (MELANGE GREY),30000,33,284,93,16,0,400000,grey,2024120220,outers
2116411,무신사 스탠다드,캐시미어 블렌드 오버사이즈 발마칸 코트 [블랙],139890,30,324,43,17,0,19000,블랙,2024120220,outers
4605203,노매뉴얼,SKADI DUCK DOWN - GLOSSY BLACK,159360,36,509,38,18,0,2600,black,2024120220,outers
1582142,레프트서울,에비에이터 B-3 무스탕 자켓 [블랙],71000,45,547,60,19,0,14000,블랙,2024120220,outers
4403731,프렌치시크,코스에그 자수 투웨이 니트집업 가디건,17880,40,963,340,20,0,29000,,2024120220,outers
1618313,무신사 스탠다드,캐시미어 블렌드 대디 숄더 싱글 롱 코트 [블랙],113890,40,435,65,21,0,18000,블랙,2024120220,outers
1535333,코드그라피,[DIVO] RDS 유틸리티 덕다운 푸파 숏패딩_4color,64000,56,332,41,22,0,30000,,2024120220,outers
4286964,노스페이스,NJ4FQ50J 화이트라벨 컴피 알파 플리스 집업_BLACK,108000,0,293,0,23,0,4600,black | 화이트,2024120220,outers
2863075,트릴리온,유니섹스 발마칸 더플 숏 코트 (BLACK),64900,50,926,73,24,0,10000,black,2024120220,outers
865862,무신사 스탠다드,캐시미어 블렌드 오버사이즈 싱글 코트 [블랙],103890,35,238,0,25,0,79000,블랙,2024120220,outers
3390508,스탠다드에러,87-STAN009 [비건 스웨이드] 스탠다드 블루종 스웨이드 자켓 블랙,39800,70,438,47,26,0,48000,블랙 | 블루,2024120220,outers
1596800,엄브로,네오 플라이트 숏다운 자켓 블랙(UP421CDJO1),224100,10,229,0,27,0,6100,블랙,2024120220,outers
4452115,쿠어,스탠드 칼라 넥 다운 푸퍼 (블랙),254700,10,292,0,28,0,1600,블랙,2024120220,outers
4469328,커버낫,24FW RDS 씨빅 오리진 숏 푸퍼 블랙,171900,22,219,0,29,0,1800,블랙,2024120220,outers
4515471,라퍼지스토어,유니온 빅 오버 패딩 파카_2COLOR,87900,45,511,40,30,0,3000,,2024120220,outers
4633419,노스페이스,NJ1DQ51J 화이트라벨 노벨티 눕시 RDS 다운 자켓_BLACK,398000,0,989,0,31,0,0,black | 화이트,2024120220,outers
3689454,어반디타입,에센셜 푸퍼 덕다운 숏 패딩_4 Color,65900,56,470,76,32,0,3800,,2024120220,outers
2222924,무신사 스탠다드,롱 다운 벤치 파카 [블랙],143890,20,49,37,33,0,5700,블랙,2024120220,outers
2241553,에스피오나지,ECWCS Level 7 Parka Grey Olive,195300,30,495,0,34,0,3500,grey,2024120220,outers
4241965,스파오,베이직 패쪼_SPJVE4TC01,38920,22,257,0,35,0,7600,,2024120220,outers
4581858,아웃스탠딩,MOUNTAIN DOWN PARKA,140400,40,780,72,36,0,3700,,2024120220,outers
3563303,비슬로우,OVERSIZED CASHMERE BALMACAAN COAT NAVY,269250,25,140,0,37,0,3500,navy,2024120220,outers
655610,드로우핏,프리미어 퓨어 캐시미어 히든 싱글 코트 [BLACK],194600,30,120,0,38,0,34000,black,2024120220,outers
656046,인사일런스,에센셜 다운 자켓 BLACK,115500,30,47,0,39,0,18000,black,2024120220,outers
3585225,키뮤어,[코듀로이 OR 나일론] 덕 다운 헤링턴 다운 점퍼_3COLOR,99900,41,313,0,40,0,4300,,2024120220,outers
2156295,키뮤어,[WOOL 80] 울 세미오버핏 발마칸 코트_블랙,126910,51,450,37,41,0,7000,블랙,2024120220,outers
3604263,노이아고,NOI1067 라이트웨이트 다운 자켓 (블랙),37900,41,462,50,42,0,7100,블랙,2024120220,outers
4446878,캘빈클라인 진,남녀공용 릴렉스핏 숏 푸퍼 J400477 BEH,242190,19,67,0,43,0,1100,,2024120220,outers
3783094,디미트리블랙,[기모선택] ASI 포시즌 에센셜 스웻 후드집업_멜란지,25600,50,344,57,44,0,19000,,2024120220,outers
