productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,totalSales,colors,date,category
1551840,제로,Deep One Tuck Sweat Pants [Grey],23400,40,1500,391,1,0,520000,grey,2024120220,pants
1551839,제로,Deep One Tuck Sweat Pants [Black],31200,20,568,152,2,0,190000,black,2024120220,pants
4274049,리메인세컨드,빈티지 캣워싱 와이드 데님 팬츠 [옐로우 워싱],24800,43,1900,268,3,0,21000,,2024120220,pants
2112061,가까이 유니언즈,원턱 와이드 스웨트팬츠 블랙,25100,52,128,160,4,0,210000,블랙,2024120220,pants
2112059,가까이 유니언즈,원턱 와이드 스웨트팬츠 그레이,25500,51,373,107,5,0,420000,그레이,2024120220,pants
3575430,어반드레스,Side Big Cargo Pants CAMO,29900,66,651,162,6,0,24000,,2024120220,pants
1168906,무신사 스탠다드,와이드 히든 밴딩 슬랙스 [블랙],23990,43,443,147,7,0,360000,블랙,2024120220,pants
3674341,바운더리,투턱 와이드 롱 스웨트 팬츠 [블랙],37700,71,663,85,8,0,33000,블랙,2024120220,pants
1844582,브렌슨,(Renew Ver.) 원턱 와이드 스웨트 팬츠 ( 5Color ) ( 기모선택 ),21900,41,1400,391,9,0,140000,,2024120220,pants
2092852,굿라이프웍스,(기모옵션추가) 이지 와이드 데님 팬츠 그레이,23600,53,965,139,10,0,190000,그레이,2024120220,pants
1149329,무신사 스탠다드,세미 와이드 히든 밴딩 슬랙스 [블랙],33890,15,201,61,11,0,460000,블랙,2024120220,pants
4580355,토피,모어 와이드 데님 팬츠 (10 Colors),28100,43,462,80,12,0,8200,,2024120220,pants
750908,후러브스아트,[기모 or 논기모] 유니섹스 세미 와이드 밴딩 슬랙스,22900,58,443,106,13,0,560000,,2024120220,pants
3690591,시그니처,[최종우X시그니처]소프트 헤비 코듀로이 원턱 밴딩 팬츠[모카브라운],29900,50,576,80,14,0,15000,브라운,2024120220,pants
3596906,데케트,[2PACK]Mid Rise Wide Jeans DCPT027,41650,66,673,110,15,0,16000,,2024120220,pants
3791988,필루미네이트,데미지 워시드 데님 팬츠-미디엄 블루,26900,49,993,136,16,0,69000,블루,2024120220,pants
