ProductID,Date,Views,Likes,Rating,RatingCount,TotalSales
4630678,20241128,2000.0,50,,,
4598476,20241128,15000.0,21000,4.8,26.0,
4632574,20241128,3400.0,21000,,,
4598467,20241128,10000.0,21000,5.0,9.0,
4594516,20241128,150.0,2200,,,
4597205,20241128,500.0,69,,,
4173442,20241128,350.0,198,5.0,8.0,
4368781,20241128,1000.0,8600,5.0,17.0,
4586768,20241128,10000.0,19,,,3400.0
4425681,20241128,,292,,,
4496511,20241128,4700.0,12000,5.0,2.0,
4135413,20241128,6300.0,130000,4.9,222.0,
4569866,20241128,900.0,8,5.0,2.0,
4381267,20241128,6200.0,27000,4.5,10.0,
4381205,20241128,5700.0,27000,5.0,20.0,
4507435,20241128,350.0,7,5.0,1.0,
4589073,20241128,7600.0,50,,,
4368766,20241128,750.0,8600,,,
4395586,20241128,100.0,4900,5.0,1.0,
4594543,20241128,350.0,4700,,,
4458339,20241128,1600.0,7600,5.0,1.0,
4299561,20241128,1700.0,4700,4.7,31.0,
4183538,20241128,100.0,170,,,
4351230,20241128,2400.0,6400,4.7,46.0,
4455709,20241128,8800.0,28000,4.9,32.0,
4179461,20241128,,13000,,,
4598481,20241128,3100.0,21000,5.0,3.0,
4351342,20241128,,1700,,,
4399048,20241128,850.0,151,4.9,15.0,
4582855,20241128,450.0,5700,,,
4567633,20241128,1000.0,373,4.5,2.0,
4476700,20241128,10000.0,8600,4.9,41.0,
4351140,20241128,2600.0,6400,4.9,54.0,
4194874,20241128,1700.0,1600,5.0,1.0,
4199856,20241128,6700.0,1600,4.9,125.0,
4296795,20241128,400.0,56,5.0,1.0,
4409723,20241128,3100.0,5300,4.9,37.0,
4594517,20241128,350.0,2200,,,
4476652,20241128,2700.0,8600,5.0,6.0,
4474228,20241128,11000.0,4100,5.0,7.0,
4638979,20241128,,3700,,,
4460434,20241128,150.0,15000,4.7,3.0,
4637889,20241128,100.0,42,,,
4456652,20241128,2200.0,2900,4.9,26.0,
4591520,20241128,,5700,,,
4355064,20241128,100.0,21000,,,
4176200,20241128,,245,5.0,4.0,
4471022,20241128,16000.0,12000,5.0,86.0,
4592313,20241128,,33,,,
4254054,20241128,200.0,13000,4.8,4.0,
4467625,20241128,2500.0,12000,5.0,5.0,
4368791,20241128,1400.0,8600,4.7,7.0,
4171340,20241128,300.0,198,5.0,22.0,
4504420,20241128,,126,,,
4117032,20241128,450.0,840000,4.8,45.0,
4464206,20241128,500.0,39000,4.9,7.0,
4486264,20241128,5700.0,8600,4.9,28.0,
4380754,20241128,100.0,20,5.0,1.0,
4377399,20241128,2200.0,4800,5.0,7.0,
4381953,20241128,700.0,368,4.9,25.0,
4422829,20241128,,904,4.9,14.0,
4590987,20241128,,1500,,,
4634300,20241128,,463,,,
