ProductID,Date,Views,Likes,Rating,RatingCount,TotalSales
4286631,20241128,610000.0,200000.0,4.9,354.0,5300.0
4241903,20241128,310000.0,200000.0,4.9,109.0,2300.0
4619625,20241128,290000.0,350000.0,4.9,797.0,5700.0
4327173,20241128,140000.0,200000.0,4.9,129.0,2100.0
4531994,20241128,210000.0,200000.0,4.9,131.0,7000.0
4605203,20241128,160000.0,160000.0,4.9,144.0,2200.0
4397034,20241128,19000.0,91000.0,4.9,240.0,1900.0
4518081,20241128,30000.0,200000.0,4.9,32.0,
4573427,20241128,60000.0,220000.0,4.8,78.0,1200.0
4633419,20241128,40000.0,200000.0,5.0,2.0,
4602451,20241128,12000.0,37000.0,5.0,3.0,
4548931,20241128,50000.0,200000.0,4.9,7.0,
4464735,20241128,30000.0,360000.0,5.0,4.0,
4403731,20241128,260000.0,3400.0,4.8,2.0,20000.0
4442864,20241128,380000.0,360000.0,4.6,133.0,2400.0
4469328,20241128,100000.0,370000.0,4.9,69.0,1300.0
4286964,20241128,230000.0,200000.0,4.9,335.0,4400.0
4610881,20241128,10000.0,200000.0,,,
4451771,20241128,40000.0,130000.0,4.9,13.0,
4548667,20241128,15000.0,200000.0,4.9,7.0,
4457974,20241128,60000.0,220000.0,4.9,147.0,1000.0
4605224,20241128,70000.0,160000.0,4.8,39.0,
4266425,20241128,80000.0,150000.0,4.9,66.0,1700.0
4280408,20241128,110000.0,160000.0,4.9,125.0,1300.0
4470740,20241128,100000.0,140000.0,4.8,64.0,1000.0
4454885,20241128,140000.0,130000.0,4.8,45.0,1300.0
4345731,20241128,120000.0,200000.0,4.8,31.0,
4464736,20241128,40000.0,360000.0,4.8,19.0,
4499584,20241128,16000.0,30000.0,5.0,8.0,
4619234,20241128,40000.0,280000.0,4.6,9.0,
4241965,20241128,150000.0,200000.0,4.9,748.0,7200.0
4410061,20241128,40000.0,200000.0,4.8,11.0,
4420185,20241128,60000.0,200000.0,5.0,28.0,
4202567,20241128,1100.0,23000.0,,,
4280410,20241128,50000.0,160000.0,5.0,22.0,
4632372,20241128,30000.0,140000.0,5.0,61.0,
4589769,20241128,19000.0,200000.0,4.9,18.0,
4209578,20241128,70000.0,840000.0,4.7,27.0,
4503687,20241128,40000.0,280000.0,4.9,56.0,
4241964,20241128,40000.0,200000.0,4.9,124.0,1700.0
4512998,20241128,30000.0,150000.0,4.9,17.0,
4242664,20241128,50000.0,200000.0,4.9,105.0,1600.0
4524477,20241128,1200.0,14000.0,,,
4520705,20241128,17000.0,280000.0,4.5,4.0,
4600247,20241128,20000.0,78000.0,5.0,11.0,
4507204,20241128,10000.0,84000.0,4.5,4.0,
4542605,20241128,40000.0,37000.0,4.8,18.0,1100.0
