productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,colors,date
4586768,디뮤지엄,"디뮤지엄 취향가옥: Art in Life, Life in Art 전시 입장권",1000,92,1000,1400,1,0,,20241127
4598476,로지텍,로지텍코리아 PRO X SUPERLIGHT 2 DEX 무선 게이밍 마우스 APOKI 에디션,199000,0,26,0,2,0,,20241127
4589073,썸데이 페스티벌,2024 썸데이 크리스마스 in 부산,110000,0,25,0,3,0,,20241127
4276762,엑스박스,Xbox Series X  포르자 호라이즌5 프리미엄 에디션,640000,6,0,0,4,0,,20241127
4455709,브리츠,노이즈캔슬링 블루투스 유무선 폴더블 헤드폰 ANC1000XL4,63900,20,21,0,5,0,블루,20241127
3975268,로지텍,로지텍코리아 A50 X 블루투스 무선 게이밍 멀티 헤드셋,399000,20,10,0,6,0,블루,20241127
4186718,마켓비,데니쉬 패브릭 소파 3인,289000,0,0,0,7,0,,20241127
4199856,마샬,메이저5 (Major V BT) 블루투스헤드폰,200000,0,18,0,8,0,블루,20241127
4253846,트루버,4인용 탄소매트,190000,0,0,0,9,0,,20241127
4474228,티브이오비티,[2개입] 소프트 쿠션케이스 시리즈,22015,30,17,0,10,0,,20241127
4481157,테디테일즈,레나베어 베이비 핑크 XS,79000,0,14,0,11,0,,20241127
4259455,에쎕떱,Mellow Bag - 블랙,125300,30,0,0,12,0,블랙,20241127
4601192,로지텍,로지텍코리아 스트림캠 스트리밍용 웹캠 FHD 1080P,139000,30,0,0,13,0,,20241127
4381208,무신사 스탠다드 홈,올 매트 어깨뿔방지 라운드 옷걸이 10팩 [블랙],12255,5,15,0,14,0,블랙,20241127
4589321,아크,아크펄스 아이폰 항공 알루미늄 범퍼 케이스 미러 실버 (아이폰 15 프로/프로 맥스),122550,5,0,0,15,0,,20241127
4582855,인스탁스,미니40,119000,21,0,0,16,0,,20241127
4503462,마이리틀독,스모어 퍼 카라 올인원 - 핑크,43000,0,0,0,17,0,,20241127
4604687,노마드,아이폰16 프로 풀커버 가죽 케이스 - 호윈 블랙,99800,0,0,0,18,0,블랙,20241127
4504734,로지텍,로지텍코리아 KEYS-TO-GO 2 For iPad 휴대용 무선 블루투스 키보드 맥용,99000,0,0,0,19,0,블루,20241127
4610299,라이엇 스토어,진 UNLOCKED 스태츄,99000,0,0,0,20,0,,20241127
4593286,오아,글라스 스텐 글라스팀 3.8L 대용량 가열식 가습기,99000,0,0,0,21,0,,20241127
4476700,스탠리,퀜처 H2.0 플로우스테이트 텀블러 887ml 스월 (2color),49000,0,30,0,22,0,,20241127
4155482,스탠리,아이스플로우 에어로라이트 캡&캐리 + 텀블러 473ml 미스트,43000,0,0,0,23,0,,20241127
4381266,무신사 스탠다드 홈,40수 200g 호텔 수건 10팩 [라이트그레이],41925,25,10,0,24,0,그레이,20241127
4396027,나라홈데코,조구만 빅바디필로우 브라키오,32000,0,0,0,25,0,,20241127
4206048,온기브,코튼 캔디 호텔식 차렵이불  세트 5colors(SS/Q),49700,63,0,0,26,0,,20241127
3907440,메이네티,에어테크 상의 옷걸이 20p (2 color),31200,20,0,0,27,0,,20241127
4117150,무신사 스탠다드,투명 자동 장우산 2팩 [클리어/블랙],9790,51,15,0,28,0,블랙,20241127
4191164,고티바쉬,이지클로즈 대형 3단 완자동우산 메모리기능 탑재,28000,0,0,0,29,0,,20241127
4254008,트루버,1인용 전기장판 [프리볼트],55200,20,11,0,30,0,,20241127
4238111,살림의 기술,어깨뿔방지 논슬립 스틸 옷걸이 100개 (6colors),67500,0,0,0,31,0,,20241127
4290186,퍼글러,벗지_위어도 블랙,22000,21,11,0,32,0,블랙,20241127
