productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,colors,date
4128817,마스마룰즈,mini ver. flap backpack _ black,29000,40,1100,142,1,0,black,20241127
4247854,보테가베네타,패디드 테크 카세트 크로스백 - 블랙 / 749878VBO818803,1652990,44,0,0,2,0,블랙,20241127
4323325,프라다,아르케 숄더백 - 블랙 / 1BC194ASKF0002,1990000,43,39,0,3,0,블랙,20241127
4312105,마리떼,CLASSIC LOGO 3 POCKET BIG BACKPACK black,119200,20,487,0,4,0,black,20241127
4436643,스탠드오일,Mushy Bag · 머쉬백,129000,0,84,0,5,0,,20241127
4260048,보테가베네타,인트레치아토 반지갑 - 블랙 / 743211VCPQ48803,548990,32,18,0,6,0,블랙,20241127
4133706,메종 마르지엘라,4 스티치 키링 카드 홀더 - 블랙 / S56UI0128P4455T8013,239000,50,127,0,7,0,블랙,20241127
4627421,오브히,플럼 스웨이드 호보백  Flume Suede Hobo Bag (3 colors),73800,40,288,0,8,0,,20241127
4305484,마리떼,CLASSIC LOGO MINI DUFFLE BAG black,71200,20,23,0,9,0,black,20241127
4295729,프라다,아이코닉 디자인 리나일론 및 사피아노 백팩 - 블랙 / 2VZ1352DMGF0002,2090000,36,13,0,10,0,블랙,20241127
4572588,브라이튼 캐리어,채코제X브라이튼캐리어 레븐 실버에디션 20 24 28 기내용 수화물,100000,48,146,0,11,0,,20241127
4451342,마리떼,CLASSIC LOGO PADDING TOTE BAG ivory,63200,20,427,0,12,0,,20241127
4279764,내셔널지오그래픽,N245ASU330 하바나 캐리어세트 28형 20형 IVORY,349000,10,23,0,13,0,,20241127
4233897,노스페이스,NM2DQ52L 화이트라벨 미니샷_WHITE SAND,98100,10,29,0,14,0,white | 화이트,20241127
4480373,발렌시아가,수퍼비지 크로스백 - 블랙 / 802227210C81000,1657990,34,10,0,15,0,블랙,20241127
4247434,페라가모,클래식 페라가모 지갑 - 블랙 / 661325770089,328990,40,11,0,16,0,블랙,20241127
4519603,펜디,미니 FF 몬트레조 버킷백 - 블랙 / 8BS093ANWTF0KUR,1634990,38,13,0,17,0,블랙,20241127
4451344,마리떼,CLASSIC LOGO PADDING TOTE BAG sky blue,63200,20,41,0,18,0,blue,20241127
4247435,페라가모,미니 허그 토트백 - 블랙 / 215975768853,1589990,44,11,0,19,0,블랙,20241127
4249966,질 샌더,스몰 고지 필로우 토트백 - 블랙 / J08WD0078P5636001,1575990,57,0,0,20,0,블랙,20241127
4371993,마뗑킴,TWO WAY STRAP SQUARE MINI BAG IN BLACK,124200,10,53,0,21,0,black,20241127
4460066,마코이,스웨이드 이지 무드 숄더 백 [블랙],49200,40,222,0,22,0,블랙,20241127
4246993,로우로우,R TRUNK 933 FRAME ep.3 29인치  (88L) [7color],474040,5,14,0,23,0,,20241127
4310310,질스튜어트 맨 액세서리,[질스튜어트X삭형] 블랙 레더 플랩형 크로스,185600,20,32,0,24,0,블랙,20241127
