productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,colors,date
4340270,노스페이스 키즈,키즈 1996 에코 눕시 RDS 다운 자켓 NJ1DQ52X_IGR,298000,0,60,0,1,0,,20241127
4631661,애들랜드,슈팅스타 캐치티니핑 티니핑 슈팅스타 팩트 시즌5 장난감,93900,21,244,0,2,0,,20241127
4223547,무신사 스탠다드 키즈,데일리 푸퍼 롱 패딩 파카 [블랙],59890,40,227,33,3,0,블랙,20241127
4295953,유팡,시그니처2 UP920A 젖병소독기 택1,369000,14,24,0,4,0,,20241127
4496782,아디다스 키즈,슈퍼스타 360 2.0 부츠 - 블랙 / ID9723,69290,30,146,0,5,0,블랙,20241127
4546849,갭 키즈,에디 패딩 부츠,38900,48,411,99,6,0,,20241127
4297227,내셔널지오그래픽 키즈,K244UPD910 글로시 패딩 점퍼 CARBONBLACK,159000,0,166,0,7,0,black,20241127
4296638,노스페이스 키즈,키즈 부띠 쇼트 NS96Q58A_BLK,116100,10,82,0,8,0,,20241127
4317955,마리떼키즈,ENFANT CLASSIC LOGO HALF ZIPUP SWEAT SET-UP navy,79200,20,180,0,9,0,navy,20241127
4350355,로토토베베,솔트헐랭실내복(7color),18000,31,123,75,10,0,,20241127
4492561,브라운브레스 키즈,KIDS TAG SHORT DOWN PUFFER - BLACK,160650,15,130,0,11,0,black,20241127
4530401,아디다스 키즈,삼바 OG - 블랙 / IE3678,66790,25,81,0,12,0,블랙,20241127
4621056,노스페이스 키즈,키즈 뉴퍼피 코트 NJ3NQ50S_BLK,150400,20,68,0,13,0,,20241127
4466813,지프키즈,리틀베어 와펜 패딩(KP5JPU484BK),50700,70,184,0,14,0,,20241127
4465290,뉴발란스 키즈,NEWKIMO BRIGHT 벌키 롱다운(구스) 아동 점퍼 NK9PE4112U,284050,5,16,0,15,0,,20241127
4350206,로토토베베,솔트딱붙실내복(6color),18000,31,68,41,16,0,,20241127
4473539,내셔널지오그래픽 키즈,K244UDW940 안데스 덕 다운 점퍼 CARBONBLACK,219000,0,181,0,17,0,black,20241127
4558125,베리클로젯,[기모] 그라데이션 포텐 세트,38900,41,179,0,18,0,,20241127
4519362,내셔널지오그래픽 키즈,K244KWT351 모노 부츠 BLACK,109000,0,18,0,19,0,black,20241127
4157761,마이크로킥보드,마이크로킥보드 미니 투고 디럭스 플러스 LED (색상선택),217550,5,11,0,20,0,,20241127
4621073,노스페이스 키즈,키즈 1996 워터 쉴드 눕시 다운 자켓 (RDS 다운) NJ1DQ56S_BLK,322200,10,35,0,21,0,,20241127
4237110,아디다스 키즈,슈퍼스타 360 컴포트 클로저 ID1047,34710,61,0,0,22,0,,20241127
4516802,로토토베베,솔트장갑(2color),20700,37,22,0,23,0,,20241127
4564405,베베누보,방수 패딩부츠 유아 방한 아기신발,31900,31,36,0,24,0,,20241127
4516794,로토토베베,솔트리버시블패딩 블루,81000,37,74,0,25,0,블루,20241127
4317956,마리떼키즈,ENFANT CLASSIC LOGO HALF ZIPUP SWEAT SET-UP light heather gray,68310,31,60,0,26,0,,20241127
4564196,베리클로젯,로고 어센틱 후리스 세트,32700,37,282,0,27,0,,20241127
4608970,노스페이스 키즈,키즈 익스플로링 하이브리드 다운 코트 NJ1DQ63S_BLK,268000,0,12,0,28,0,,20241127
4462413,마리떼키즈,ENFANT LONG DUCK DOWN PUFFER black,254150,15,14,0,29,0,black,20241127
4615651,오슬로N59,아동 울렌부츠,45000,0,70,0,30,0,,20241127
4491931,디스커버리 키즈,레스터 QT 부츠 키즈 (BLACK),99000,0,16,0,31,0,black,20241127
4484974,노스페이스 키즈,키즈 뉴퍼피 자켓 NJ3NQ51V_PPI,134400,20,10,0,32,0,,20241127
4499606,내셔널지오그래픽 키즈,K244GDW920 글로시 덕 다운 점퍼 CARBONBLACK,239000,0,21,0,33,0,black,20241127
4285235,어그 키즈,[키즈] 자수 브레이드 부츠 - 체스트넛 (클래식 미니 크레센트) / 1157697KCHE,224000,0,31,0,34,0,,20241127
4233578,아디다스 키즈,슈퍼스타 360 컴포트 클로저 ID1048,28920,68,64,0,35,0,,20241127
4559743,노스페이스 키즈,키즈 눕시 뮬 NS96Q56S_BLK,62100,10,48,0,36,0,,20241127
4530400,아디다스 키즈,삼바 OG - 화이트 / IE3677,57890,35,169,0,37,0,화이트,20241127
4317969,마리떼키즈,ENFANT BEAR CLASSIC LOGO SWEATSHIRT navy,62100,10,46,0,38,0,navy,20241127
4546850,갭 키즈,일라 패딩 부츠,38900,48,128,0,39,0,,20241127
4340282,노스페이스 키즈,키즈 1996 에코 눕시 RDS 다운 자켓 NJ1DQ52Y_INP,298000,0,106,0,40,0,,20241127
4492569,브라운브레스 키즈,KIDS BREAK DOWN PARKA  - BLUE,177650,15,12,0,41,0,blue,20241127
4516849,로토토베베,솔트기모골지셋업 오렌지,32400,35,52,0,42,0,,20241127
4557788,베리클로젯,다이아 스노우 팬츠,21500,35,201,0,43,0,,20241127
4124014,무신사 스탠다드 키즈,기모 와이드 밴딩 데님 팬츠 [워시드 블랙],42390,15,38,0,44,0,블랙,20241127
4223528,무신사 스탠다드 키즈,롱 다운 벤치 파카 [웜 그레이],104890,30,85,0,45,0,그레이,20241127
4582723,로토토베베,솔트퍼자켓(2color),33540,40,145,0,46,0,,20241127
4492597,브라운브레스 키즈,KIDS TAG NYLON WINDBREAKER SETUP,163425,25,10,0,47,0,,20241127
4516826,로토토베베,솔트장조끼 사과쿼카,18900,39,56,0,48,0,,20241127
4515779,리 키즈,글로시 숏 덕다운 패딩 머플러 세트 점퍼 블랙 LK2404DP72BK,160300,30,25,0,49,0,블랙,20241127
4223563,무신사 스탠다드 키즈,글로시 푸퍼 숏 패딩 재킷 [블랙],62890,10,67,0,50,0,블랙,20241127
4223539,무신사 스탠다드 키즈,페이크 퍼 후디드 패딩 파카 [더스티 크림],77890,40,85,0,51,0,,20241127
4278163,무신사 스탠다드 키즈,기모 레귤러 핏 밴딩 데님 팬츠 [미디엄 인디고],42390,15,16,0,52,0,,20241127
4273401,아웃도어 프로덕츠 키즈,글로시 하이넥 숏 푸퍼 다운 (블랙) OD244ODJ02_BLK,151200,20,33,0,53,0,블랙,20241127
4551055,베리클로젯,투모로우 카라 세트,33100,25,50,0,54,0,,20241127
4419296,아디다스 키즈,슈퍼스타 360 헬로키티 IF7020,40490,55,22,0,55,0,,20241127
4306193,브라운브레스 키즈,KIDS TAG LONGSLEEVE - WHITE,29250,35,78,0,56,0,white,20241127
4516850,로토토베베,솔트기모골지셋업 퍼플,32400,35,31,0,57,0,,20241127
4463102,뉴발란스 키즈,NEWKIMO BRIGHT 여아 롱다운(구스) 아동 점퍼 NK9PE4804G,284050,5,23,0,58,0,,20241127
4492601,브라운브레스 키즈,KIDS BROKEN WELLON PADDING SETUP,142740,40,29,0,59,0,,20241127
4458055,마리떼키즈,ENFANT FLEECE JACKET ivory,87200,20,60,0,60,0,,20241127
4223553,무신사 스탠다드 키즈,칼라드 코듀로이 푸퍼 숏 패딩 재킷 [크림],69890,30,26,0,61,0,,20241127
4585321,노스페이스 키즈,키즈 바이탈 EX RDS 다운 자켓 NJ1DQ65T_LBE,174400,20,23,0,62,0,,20241127
4551053,베리클로젯,[기모] 에브리띵 마일드 세트,30700,25,25,0,63,0,,20241127
4516768,로토토베베,솔트비비드가디건 레드,27000,36,28,0,64,0,,20241127
4530402,아디다스 키즈,슈퍼스타 CF - 화이트 / EF4838,44990,49,58,0,65,0,화이트,20241127
4463108,뉴발란스 키즈,NEWKIMO BRIGHT 남아 미디 다운 (구스) 아동 점퍼 NK9PE4110U,265050,5,37,0,66,0,,20241127
4462459,마리떼키즈,ENFANT WOOL COAT navy,263200,20,0,0,67,0,navy,20241127
