ProductID,Date,Views,Likes,Rating,RatingCount,TotalSales
4354740,20241128,400.0,15000,,,
4321977,20241128,6900.0,130000,5.0,1.0,
4368698,20241128,1700.0,84000,5.0,8.0,
4628197,20241128,,130,,,
4438454,20241128,500.0,28000,5.0,2.0,
4322345,20241128,1000.0,58000,5.0,2.0,
4322329,20241128,800.0,58000,5.0,3.0,
4380334,20241128,1000.0,20000,5.0,2.0,
4592278,20241128,,3800,,,
4265733,20241128,4400.0,140000,4.8,65.0,
4254226,20241128,8500.0,140000,4.7,85.0,
4544307,20241128,6700.0,1700,4.5,15.0,
4516899,20241128,2000.0,59000,5.0,3.0,
4516900,20241128,600.0,59000,5.0,2.0,
4213381,20241128,1500.0,140000,5.0,1.0,
4209726,20241128,100.0,1800,,,
4485609,20241128,2900.0,660000,5.0,1.0,
4342649,20241128,,22000,,,
4351114,20241128,150.0,110000,4.5,2.0,
4426814,20241128,5200.0,29000,4.6,13.0,
4309431,20241128,1700.0,310000,5.0,2.0,
4500721,20241128,10000.0,140000,4.8,33.0,
4540955,20241128,1600.0,360000,,,
4524746,20241128,600.0,41000,5.0,1.0,
4316266,20241128,,45000,,,
4407333,20241128,600.0,84000,,,
4336415,20241128,3400.0,53000,4.8,13.0,
4458178,20241128,100.0,12000,,,
4298327,20241128,11000.0,140000,4.9,27.0,
4517681,20241128,1600.0,130000,5.0,1.0,
4607107,20241128,100.0,69000,,,
4501757,20241128,8300.0,84000,5.0,1.0,
4501758,20241128,5800.0,84000,5.0,3.0,
4457754,20241128,30000.0,140000,4.7,24.0,
4353805,20241128,1200.0,84000,,,
4469613,20241128,,2900,,,
4410712,20241128,150.0,100000,,,
4469621,20241128,300.0,2900,,,
4431420,20241128,2800.0,27000,5.0,1.0,
4429720,20241128,200.0,2300,,,
4383363,20241128,700.0,72000,5.0,2.0,
4203769,20241128,2400.0,5800,5.0,7.0,
4441402,20241128,2500.0,63000,5.0,3.0,
4593352,20241128,9500.0,140000,,,
4595867,20241128,750.0,34000,5.0,1.0,
4427267,20241128,400.0,26000,5.0,1.0,
4446168,20241128,,1800,,,
4359911,20241128,1400.0,5800,5.0,1.0,
4350936,20241128,20000.0,79000,4.9,34.0,
4626242,20241128,400.0,69000,,,
4626243,20241128,400.0,69000,,,
4385810,20241128,7100.0,180000,5.0,2.0,
4638456,20241128,,20000,,,
4553123,20241128,1100.0,100000,,,
4399468,20241128,2300.0,23000,4.9,10.0,
4473377,20241128,1000.0,68000,,,
4406479,20241128,400.0,240000,,,
4453176,20241128,400.0,12000,,,
4518316,20241128,150.0,21000,,,
4526796,20241128,600.0,110000,5.0,1.0,
4353798,20241128,800.0,84000,4.9,7.0,
4336381,20241128,7100.0,53000,4.8,26.0,
4322902,20241128,1400.0,240000,5.0,4.0,
4443459,20241128,5800.0,42000,5.0,2.0,
4424132,20241128,450.0,660000,,,
4406066,20241128,1100.0,12000,5.0,1.0,
4385972,20241128,100.0,20000,,,
4409137,20241128,200.0,20000,4.0,2.0,
4565967,20241128,150.0,2700,,,
4295900,20241128,750.0,130000,4.8,4.0,
4590706,20241128,450.0,87000,,,
4463767,20241128,950.0,31000,,,
4228713,20241128,18000.0,140000,5.0,12.0,
4475510,20241128,1400.0,7900,4.7,3.0,
4417144,20241128,2000.0,42000,4.8,4.0,
4618669,20241128,100.0,66000,,,
4295870,20241128,950.0,130000,4.8,5.0,
4437601,20241128,4200.0,110000,4.6,39.0,
4470762,20241128,1100.0,72000,,,
4627925,20241128,1000.0,2700,5.0,1.0,
4564769,20241128,500.0,2700,4.5,2.0,
4336061,20241128,9400.0,660000,4.9,45.0,
4539069,20241128,,13000,,,
4166667,20241128,,13000,,,
4627874,20241128,850.0,47000,,,
4388261,20241128,4600.0,15000,5.0,5.0,
4408681,20241128,,6400,5.0,1.0,
4402431,20241128,1700.0,180000,,,
4449634,20241128,100.0,6500,,,
4249593,20241128,100.0,87000,5.0,1.0,
4358530,20241128,1300.0,24000,4.7,3.0,
4623474,20241128,200.0,32000,,,
4422795,20241128,300.0,32000,,,
4397314,20241128,,60000,,,
4628113,20241128,800.0,2700,,,
4326509,20241128,11000.0,140000,4.9,27.0,
4459836,20241128,3200.0,26000,5.0,3.0,
4311200,20241128,200.0,34000,5.0,1.0,
4209797,20241128,350.0,1800,,,
4506767,20241128,1400.0,50000,,,
4594283,20241128,100.0,696,,,
4574665,20241128,1200.0,280000,,,
4611632,20241128,350.0,91000,,,
4595190,20241128,150.0,1800,,,
4601115,20241128,500.0,25000,,,
4324110,20241128,1500.0,91000,4.0,1.0,
4593477,20241128,6300.0,140000,5.0,1.0,
4516902,20241128,3300.0,59000,5.0,1.0,
4453150,20241128,400.0,37000,5.0,2.0,
4324777,20241128,13000.0,220000,5.0,44.0,
