productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,colors,date
4128817,마스마룰즈,mini ver. flap backpack _ black,29000,40,802,103,1,0,black,20241128
4414695,아디다스,미니 포켓 백팩 - 블랙 / JL7653,46990,41,338,59,2,1,블랙,20241128
4291539,보테가베네타,카세트 숄더백 - 블랙 / 737950VB1K08480,2699990,29,15,0,3,0,블랙,20241128
4361399,스탠드오일,Joey Bag Mini · 조이백 미니 (스웨이드),98100,10,12,36,4,1,,20241128
4142734,스탠드오일,Joey Bag Mini · 조이백 미니,98100,10,39,47,5,1,,20241128
4436643,스탠드오일,Mushy Bag · 머쉬백,129000,0,34,0,6,1,,20241128
4382025,비비안 웨스트우드,비비안 클러치 - 블랙 / 4B010009WS000DN403,279990,60,109,0,7,0,블랙,20241128
4468733,미우미우,마테라쎄 나파 가죽 버킷백 - 파우더 핑크 / 5BE085N88F0236,1589990,36,0,0,8,0,,20241128
4414696,아디다스,미니 포켓 백팩 - 스카이블루 / JL7654,39990,49,185,32,9,0,블루,20241128
4361398,스탠드오일,Joey Bag · 조이백 (스웨이드),116100,10,21,0,10,1,,20241128
4133706,메종 마르지엘라,4 스티치 키링 카드 홀더 - 블랙 / S56UI0128P4455T8013,239000,50,113,0,11,0,블랙,20241128
4627421,오브히,플럼 스웨이드 호보백  Flume Suede Hobo Bag (3 colors),73800,40,193,0,12,0,,20241128
4297122,히에타,Tina / Cherry Red,99900,41,41,0,13,0,,20241128
4436726,스탠드오일,Square Low Bag · 스퀘어 로우백,106000,0,27,0,14,0,,20241128
4295700,보테가베네타,인트레치아토 나파 클러치 - 블랙 / 522430V3UN11275,797990,45,0,0,15,0,블랙,20241128
4279763,내셔널지오그래픽,N245ASU330 하바나 캐리어세트 28형 20형 SILVER,349000,10,11,0,16,0,,20241128
4382019,비비안 웨스트우드,미디움 지퍼 지갑 - 블랙 / 5107004JUS000DN403,168990,67,23,0,17,0,블랙,20241128
4394193,루에브르,Goutte Shoulder Medium FA4AB300-C2,314000,10,0,0,18,0,,20241128
4341123,생로랑,시그니처 디테일 그레인 레더 카드 홀더 - 블랙 / 375946BTY0N1000,192990,52,63,0,19,0,블랙,20241128
4572588,브라이튼 캐리어,채코제X브라이튼캐리어 레븐 실버에디션 20 24 28 기내용 수화물,100000,48,98,0,20,0,,20241128
4568530,마뗑킴,BUCKLE STRAP SHOULDER BAG IN BLACK,133200,10,78,0,21,0,black,20241128
4371993,마뗑킴,TWO WAY STRAP SQUARE MINI BAG IN BLACK,124200,10,29,0,22,0,black,20241128
4436750,스탠드오일,Chunky Bag · 청키백,79000,0,17,0,23,1,,20241128
4215122,디젤,1DR 바이폴드 집 II 반지갑 - 블랙 / X09888PR818T8013,140000,60,12,0,24,0,블랙,20241128
4320990,분크,Occam Doux Double Pocket Chain Backpack M (오캄 두 더블 포켓 체인 백팩 미듐)_2colors,365000,0,0,0,25,0,,20241128
4545303,맥포스,블랙라벨 스트라이크 팔콘 백팩 - 블랙 스트랩,329800,15,0,0,26,0,블랙,20241128
4397222,도프셉,Rhea Bag in Black,95200,20,13,0,27,0,black,20241128
4513347,비비안 웨스트우드,벨 하트 프레임 토트백 - 멀티컬러 / 4B01000CWW00ZNJ201,299990,61,29,0,28,0,,20241128
4238230,투아모,헤라스백 블랙,149000,25,18,0,29,0,블랙,20241128
4427523,파르티멘토,[뱃지 증정] VTG 워시드 멀티 포켓 백 블랙,81400,25,25,0,30,0,블랙,20241128
4295691,프라다,트라이앵글 로고 사피아노 숄더백 - 블랙 / 2VH1139Z2F0002,1976000,40,32,0,31,0,블랙,20241128
4184930,메종 마르지엘라,4 스티치 슬림 2폴드 카드 홀더 - 그레이지 / S55UI0203P4745T2003,226000,50,0,0,32,0,그레이,20241128
4443546,미우미우,마테라쎄 나파 가죽 숄더백 - 블랙 / 5BH211N88F0002,1822990,36,14,0,33,0,블랙,20241128
4521960,로우로우,헤비듀티 백팩 813 [2color],215100,10,0,0,34,0,,20241128
4142637,스탠드오일,Ringo Bag · 링고백,71180,12,11,0,35,0,,20241128
4480409,발렌시아가,수퍼비지 XS 숄더백 - 블랙 / 762516210C81000,1710990,35,26,0,36,0,블랙,20241128
4449662,보테가베네타,타이 숄더백 - 블랙 / 690503V48I18803,1698990,46,21,0,37,0,블랙,20241128
4249966,질 샌더,스몰 고지 필로우 토트백 - 블랙 / J08WD0078P5636001,1575990,57,0,0,38,0,블랙,20241128
4573356,여밈,mini day backpack (dot corduroy),92640,15,0,0,39,0,,20241128
4461464,락피쉬웨더웨어,RIBBON DUFFLE BAG - 4 colors,59900,18,46,0,40,0,,20241128
4370150,브라이튼 캐리어,로샤인 26인치 수화물용 여행용 캐리어,179000,25,0,0,41,0,,20241128
4295704,보테가베네타,폴더형 반지갑 - 블랙 / 649603V47V18803,468490,42,12,0,42,0,블랙,20241128
4555219,펜디,미니 FF 몬트레조 버킷백 - 브라운 / 8BS093ALP3F1AOE,1425990,46,16,0,43,0,브라운,20241128
4397655,아우로,MULTI STUD BACKPACK [ CHARCOAL ],163000,0,0,0,44,0,charcoal,20241128
4169655,인포트,여행용 프리미엄 캐리어 The 솔리드 28인치 메탈 블랙,159000,39,0,0,45,0,블랙,20241128
4460066,마코이,스웨이드 이지 무드 숄더 백 [블랙],49200,40,19,0,46,0,블랙,20241128
4401227,노스페이스,NM2DQ57A TNF 데이팩 미니,71190,20,20,0,47,0,,20241128
4309371,메종 마르지엘라,스몰 글램 슬램 플랩 숄더백 - 그레이지 / SB1WG0019P4300H9677,1200000,50,12,0,48,0,그레이,20241128
4450391,샌드뮤지엄,CACTUS HOBO BAG [Butter Yellow],139500,10,0,0,49,0,,20241128
4421934,윌슨,패딩 슬링백_WU33020433WHT,139000,0,0,0,50,0,,20241128
4379977,미나브,마가렛 스웨이드 크로스백 [브라운],69000,22,72,0,51,0,브라운,20241128
4244025,디베르노,지퍼 비건레더 백팩 (Brown),135000,0,0,0,52,0,brown,20241128
4514561,셀리테일즈,STUD POCKET BACKPACK_BLACK,133200,10,0,0,53,0,black,20241128
4436524,컨셉타이드,미니멀 레더 듀얼 포켓 숄더 백_Black,65900,26,10,0,54,0,black,20241128
4500128,트리밍버드,Metal O RIng Glossy Wallet [ Black ],132050,5,0,0,55,0,black,20241128
4210263,무신사 스탠다드 우먼,미니 볼링 백 [블랙],63890,20,12,0,56,0,블랙,20241128
4427062,제로플래닛,비건 레자 셔링 리본 백팩 [PINK],37500,55,21,0,57,0,,20241128
4277513,하 아카이브,[WITH 호수] 올 라운더 크로스백 (블랙),59900,13,15,0,58,0,블랙,20241128
4133713,메종 마르지엘라,4 스티치 슬림 2폴드 카드 홀더 - 블랙 / S55UI0203P4745T8013,226000,50,47,0,59,0,블랙,20241128
4387825,세터,스크런치 미디움 숄더 백 브라운,111300,30,0,0,60,0,브라운,20241128
4170158,엘이이와이,METAL LOGO CARD HOLDER LEOPARD,36000,25,13,0,61,0,,20241128
4320105,생로랑,클래식 시티 백팩 - 블랙 / 534967GIV3F1000,900990,46,0,0,62,0,블랙,20241128
4498482,레더리,리본 앙고라 니트 숄더백 [RED],33600,20,14,0,63,0,,20241128
4483965,나이키,"아카데미 팀 축구 더플백(미디엄, 60L) - 미드나이트 네이비:블랙:화이트 / CU8090-410",49500,10,0,0,64,0,블랙 | 화이트 | 네이비,20241128
4310308,질스튜어트 맨 액세서리,[질스튜어트X삭형] 블랙 레더 심플 토트백,265600,20,23,0,65,0,블랙,20241128
4133323,에스에스알엘,raven essential backpack / black,97000,35,0,0,66,0,black,20241128
4405171,르마드,스웨이드 볼링백 - 베이지,95400,40,13,0,67,0,,20241128
4310310,질스튜어트 맨 액세서리,[질스튜어트X삭형] 블랙 레더 플랩형 크로스,185600,20,30,0,68,0,블랙,20241128
4476628,카테고리9,PADDING SQUARE SHOULDER BAG_2color,46528,21,12,0,69,0,,20241128
4460134,마코이,팔레트 스냅 포켓 레더 미니 카드 지갑 [레드],31200,40,31,0,70,0,,20241128
4407846,히어리,테일 버클 호보백_아이보리,92650,15,11,0,71,0,,20241128
4570232,조셉앤스테이시,Lucky Pleats Knit M (2color),29900,50,13,0,72,0,,20241128
4533689,오브히,미뇽 호보 숄더백 Mignon Hobo Shoulder Bag  - 블랙,89590,20,0,0,73,0,블랙,20241128
4421887,리자,리자백 블랙,89400,40,0,0,74,0,블랙,20241128
4260115,자크뮈스,르 쁘띠 밤비무 숄더백 - 블랙 / 233BA3353073990,721990,50,0,0,75,0,블랙,20241128
4237519,질 샌더,미니 카놀로 숄더백 - 블랙 / J08WD0008P4840001,716000,60,0,0,76,0,블랙,20241128
4617737,기철,VINTAGE WRAP BAG (BROWN),41400,40,26,0,77,0,brown,20241128
4326443,프라다,하단 메탈 트라이앵글 로고 사피아노 반지갑 - 블랙 / 2MO513QHHF0002,682000,31,12,0,78,0,블랙,20241128
4532312,오소이,TOTE BROCLE [NUBUCK BROWN],659000,0,0,0,79,0,brown,20241128
4233897,노스페이스,NM2DQ52L 화이트라벨 미니샷_WHITE SAND,98100,10,71,0,80,0,white | 화이트,20241128
4507195,바이아틀리에,마일백_딥레드,78000,0,0,0,81,0,,20241128
4448324,벤 데이비스,오리지널 글로스 미니 데이팩 6L 블랙,78000,0,0,0,82,0,블랙,20241128
4386222,캉골,WH 푸퍼 메신저백 M 2089 블랙,73500,30,0,0,83,0,블랙,20241128
4399942,노스페이스,NN2PQ59K 화이트라벨 플럼피 토트백 미니,71090,10,11,0,84,0,화이트,20241128
4261234,무음,퍼피 카드 포켓 Puffy Card Pocket (5 Colors),23750,5,33,0,85,0,,20241128
4368845,휠라,푸퍼 미니 토트백(FS3BCG4320FBLK),69000,0,11,0,86,0,,20241128
4410854,프라다,골드 트라이앵글 로고 리나일론 및 사피아노 카드 홀더 - 블랙 / 1MC0252DMIF0002,279000,42,135,0,87,0,블랙,20241128
4279102,마르헨제이,지니아백,67400,30,0,0,88,0,,20241128
4345195,더콜디스트모먼트,TCM starfish leather card wallet (black),67150,15,11,0,89,0,black,20241128
4291296,컬럼비아,그레이트 스모키 가든™ 2Way 토트 - 블랙,66750,25,0,0,90,0,블랙 | 그레이,20241128
4255429,말본 골프,말본 뉴 베이직 트롤리 보스턴백 GREEN,559000,0,0,0,91,0,green,20241128
4227859,디랩,엠퍼러 백팩 - 2color,32800,43,31,0,92,0,,20241128
4208867,메종 마르지엘라,4 스티치 슬림 카드 홀더 - 블랙 / SA1VX0011P4455T8013,265800,40,60,0,93,0,블랙,20241128
4498600,레더리,클라우드 패딩백 [PEARL],63200,20,0,0,94,0,,20241128
4291577,생로랑,마틀라쎄 2단 모노그램 지갑 - 블랙 / 575879BOW011000,523990,31,11,0,95,0,블랙,20241128
4515642,마스마룰즈,Plumpy daily cross bag _ Black,62000,24,54,0,96,0,black,20241128
4215141,디젤,플레이 크로스바디 숄더백 - 블랙 / X09776P6255T8013,520000,0,0,0,97,0,블랙,20241128
4382105,프라다,골드 메탈 로고 지갑 - 블랙 / 1MV2042CYSF0002,517990,52,10,0,98,0,블랙,20241128
4137542,무르,노이백캔버스 (3color),61200,40,0,0,99,0,,20241128
4515579,마스마룰즈,[파우치세트] glossy shoulder duffel bag _Black,61000,23,10,0,100,0,black,20241128
4194893,노이아고,NOI1343 나일론 푸퍼 백팩 (블랙),57400,30,17,0,101,0,블랙,20241128
4246993,로우로우,R TRUNK 933 FRAME ep.3 29인치  (88L) [7color],474040,5,14,0,102,0,,20241128
4141127,페넥,MEDIUM HOBO - BLACK,55250,15,0,0,103,0,black,20241128
4449681,미우미우,마테라세 나파 가죽 지퍼 카드 홀더 - 파우더 핑크 / 5MC0932FPPF0236,458990,37,10,0,104,0,,20241128
4418586,이미스,NEW LEATHER HOBO BAG-NAVY,52000,0,0,0,105,0,navy,20241128
4271589,리,미니 올데이 백팩 아이보리,51350,35,12,0,106,0,,20241128
4467030,보테가베네타,명함 카드 홀더 - 블랙 / 667141VCPP38425,431990,34,0,0,107,0,블랙,20241128
4312581,린츠,베티백-실버,50561,43,11,0,108,0,,20241128
4291579,생로랑,업타운 플랩 카드 홀더 - 블랙 / 5823051GF0J1000,424990,21,21,0,109,0,블랙,20241128
4424871,마스마룰즈,3way belted mini hobo bag  Cream,60000,21,0,0,110,0,,20241128
4520935,마뗑킴,MATIN VINTAGE ECOBAG IN LIGHT GREY,48000,0,0,0,111,0,grey,20241128
4527271,랩,VELVET CHAIN SHOULDER BAG AQ7ABA02,47920,20,0,0,112,0,,20241128
4532286,오소이,SHOULDER BROCLE MINI [NUBUCK BROWN],399000,0,0,0,113,0,brown,20241128
4532278,오소이,SHOULDER BROCLE MINI [STONE BLACK],399000,0,0,0,114,0,black,20241128
4382088,보테가베네타,빌 클립 반지갑 - 블랙 / 592626V3US18803,395990,48,0,0,115,0,블랙,20241128
4397232,보테가베네타,인트레치아토 반지갑 - 에스프레소 / 113993V47W12006,393740,51,20,0,116,0,,20241128
4247792,보테가베네타,지퍼 카드 홀더 - 블랙 / 679843VBWD38803,387990,40,0,0,117,0,블랙,20241128
4549016,치스치스,CHISCHIS PADDING BAG - WHITE,45360,19,0,0,118,0,white,20241128
4533583,생로랑,페이턴트 업타운 플랩 카드 홀더 - 레드 / 582305BMIIW6259,378990,36,0,0,119,0,,20241128
4386197,언에디트,U Suede Daily Hobo Bag_2colors,88200,10,74,0,120,0,,20241128
4409949,분크,Halfmoon Baggy Hobo L (하프문 배기 호보 라지)_2colors,375000,0,0,0,121,0,,20241128
4158517,더그린랩,에코 레더 호보 크로스백 [실버],44250,25,0,0,122,0,,20241128
4543305,킬리안,Jedi S Nylon 5color 제디 S 나일론 숄더백,44000,19,0,0,123,0,,20241128
4508887,마크니,DUFFLE SHOULDER BAG BLACK,43400,30,0,0,124,0,black,20241128
4204498,시티브리즈 우먼,써클 로고 패딩 빅 호보백_BLACK,65400,40,17,0,125,0,black,20241128
4414692,아디다스,에어라이너 핸들 백 - 블랙 / JP0143,53990,45,33,0,126,0,블랙,20241128
4279764,내셔널지오그래픽,N245ASU330 하바나 캐리어세트 28형 20형 IVORY,349000,10,0,0,127,0,,20241128
4237679,고다신,Angel Cats Accordion Wallet,41400,10,13,0,128,0,,20241128
4633593,마뗑킴,POCKET SHIRRING RIBBON BIG BAG IN BLACK,168000,0,21,0,129,0,black,20241128
4394178,루에브르,Cle Nouveau Tote Large FA4AA288-FH,341000,10,0,0,130,0,,20241128
4247434,페라가모,클래식 페라가모 지갑 - 블랙 / 661325770089,328990,40,0,0,131,0,블랙,20241128
4255107,봉글리,도트 패딩 아이패드 태블릿 파우치 (11/13/14/15/16인치),18500,0,0,0,132,0,,20241128
4394114,루에브르,Ample Tote Small FA4AA296-FH,323000,10,0,0,133,0,,20241128
4427058,제로플래닛,비건 레자 셔링 리본 백팩 [BLACK],37500,55,25,0,134,0,black,20241128
4444922,비비안 웨스트우드,슬림 카드 홀더 - 블랙 / 5403000BUS000DN403,98990,65,36,0,135,0,블랙,20241128
4371991,마뗑킴,TWO WAY STRAP SQUARE BAG IN BLACK,151200,10,98,0,136,0,black,20241128
4625907,슈펜,코듀로이 미니 포켓 백팩 HPADZEFT01,35910,10,0,0,137,0,,20241128
4625788,슈펜,베이직 남성 스퀘어 백팩 HPABFEA801,35910,10,0,0,138,0,,20241128
4400856,두마로,져니 빅 숄더백 / 블랙,35810,46,67,0,139,0,블랙,20241128
4383275,마뗑킴,EMBOSSED LOGO LEATHER MAXI BAG IN BLACK,142400,20,13,0,140,0,black,20241128
4481060,제이에스티나,J.LETTER 퍼리본참 GR (JEACEA4BF310GR320),34200,10,0,0,141,0,,20241128
4354516,마스마룰즈,304 Nylon draw flap backpack _ Black,67000,18,38,0,142,0,black,20241128
4215139,디젤,레이브 백팩 백팩 - 블루 / X09921P6830H1410,284000,60,11,0,143,0,블루,20241128
4235560,인포트,여행용 프리미엄 캐리어 확장형 The 포스 28인치 오로라 실버,89000,37,13,0,144,0,,20241128
4227658,마스마룰즈,Rabbit eco bag_Cob pink flower,33000,21,19,0,145,0,,20241128
4232371,메종 마르지엘라,4 스티치 2폴드 카드 홀더 - 블랙 / SA3VX0005P4745T8013,275500,50,13,0,146,0,블랙,20241128
4472965,투아모,러브 숄더백 블랙 [파우치 세트],134000,25,12,0,147,0,블랙,20241128
4255060,리드볼트,몬딱 캐리어 24인치 실버,270000,0,0,0,148,0,,20241128
4215096,디젤,1DR XS S 숄더백 - 블랙 / X08957PS202T8013,264000,60,14,0,149,0,블랙,20241128
4191797,맥포스,슈퍼팔콘 백팩 5color,262400,20,10,0,150,0,,20241128
4424870,마스마룰즈,3way belted mini hobo bag _ Black,60000,21,15,0,151,0,black,20241128
4279729,케즈,벨벳 백팩 (KD3BCG3103FBLK),125000,0,0,0,152,0,,20241128
4449550,마뗑킴,TWO WAY STRAP SUEDE LEATHER BAG IN BEIGE,246400,20,11,0,153,0,,20241128
4253496,리드볼트,쿼디 캐리어 20인치 다크 그레이,235000,0,0,0,154,0,그레이,20241128
4377573,뉴발란스,NBGCEFA904 /유틸리티 더블X 백팩 (BLACK),111300,30,37,0,155,0,black,20241128
