productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,colors,date
4270193,제이엠더블유,[무신사 단독패키지] 24년 8월 신상품 에어젯 울트라 프로 전문가용 1700W 터보 항공모터 헤어 드라이기,78000,51,1100,91,1,0,,20241128
4437931,닥터비타,모공케어 비타민B 포어 앤 세범 밸런싱 패드 180g (+사은품 증정),19800,56,263,158,2,0,,20241128
4187469,셀렉스,셀렉스 프로핏 밀크프로틴 드링크 모카초콜릿 250ml x 18개,25800,51,155,84,3,1,,20241128
4268814,비비앙,오드퍼퓸 월넛크릭그린  EDP 50ml,79900,47,118,0,4,0,그린,20241128
4558266,블리스텍스,[5PACK]립 릴리프 크림 립밤,10000,67,222,101,5,0,,20241128
4187568,셀렉스,프로핏 밀크프로틴 드링크 밀크바닐라 250ml x 18개,25800,51,47,34,6,0,,20241128
4629918,포맨트,시그니처 퍼퓸  코튼허그 50ml 짱구 에디션,49000,17,46,0,7,0,,20241128
4564862,멜리언스,실리콘 진동 클렌저,38900,35,50,0,8,0,,20241128
4199149,보다나,컴팩트 물결고데기 38mm 아이보리무드,50500,10,109,0,9,0,,20241128
4566395,에스네이처,아쿠아 라이스 약산성 클렌징폼 160ml 2개입 [증정: 클렌징 오일 13ml + 젤 크림 30ml],27900,27,29,0,10,0,,20241128
3992824,에스트라,아토베리어365 크림 80ml 2개,59400,10,25,0,11,0,,20241128
4265741,포뷰트,헤어 볼륨 핀처,17900,39,52,0,12,0,,20241128
4533796,이니스프리,[이니스프리 x Lee]레티놀시카흔적앰플30ml + Lee코듀로이윈터백 + 레티놀앰플21ml 추가증정,35100,25,64,0,13,0,,20241128
4254208,무신사 스탠다드 뷰티,무신사 스탠다드 모시 헤이즈 EDP 50ml,37400,25,31,0,14,0,,20241128
4615761,셀렉스,프로핏 드링크 바나나 250ml x 18개,25900,50,26,0,15,0,,20241128
4187268,셀렉스,프로핏 웨이프로틴 드링크 초콜릿 330ml x 12개,24900,35,18,0,16,0,,20241128
