productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,colors,date
4529877,무센트,시그니처 체크 머플러 (34컬러),25260,41,1300,133,1,0,,20241128
4291662,리에티,ERICA RT 1018 4colors,18060,54,95,237,2,0,,20241128
4408449,아미,화이트 빅하트 로고 오버사이즈 머플러 - 다크 그레이 / USF422AW0054061,233990,61,59,0,3,0,그레이 | 화이트,20241128
4488412,락피쉬웨더웨어,CABLE FUR KNIT EARMUFF - 4 colors,28500,29,219,57,4,0,,20241128
4577301,더콜디스트모먼트,TCM starfish mini logo gloves (4 colors),24650,15,212,34,5,0,,20241128
4488529,락피쉬웨더웨어,NEW FLUFFY SHORT GLOVES - 9 colors,19900,29,609,130,6,0,,20241128
4550110,락피쉬웨더웨어,WOOLY TWOTONE MUFFLER - 2 colors,33800,20,509,0,7,0,,20241128
4537642,더니트컴퍼니,울 캐시미어 숏 머플러 6color,43800,36,171,0,8,0,,20241128
4532260,더니트컴퍼니,캐시미어 100 머플러 8color,99000,10,43,0,9,0,,20241128
4508051,오헤시오,"DOT PATTERN MUFFLER, GRAY BLACK",98000,0,52,0,10,0,black,20241128
4503422,노스페이스,NE3CQ56J 화이트라벨 퍼피 플리스 이어머프 EX 캡,69000,0,189,0,11,0,화이트,20241128
4354515,팬시클럽,바니 트루퍼 비니 (IVORY)_F24ZE914,36800,25,154,0,12,0,,20241128
4295598,막스마라,FRINE STD 머플러 - 카멜 / 26736011600009,501990,68,0,0,13,0,,20241128
4466475,고비,산양자수 금장 캐시미어 머플러,117000,38,49,0,14,0,,20241128
4577311,더콜디스트모먼트,TCM mini logo stripe muffler (sky blue/grey),50150,15,15,0,15,0,blue | grey,20241128
4513352,비비안 웨스트우드,시모네타 바스 릴리프 목걸이 - 플래티늄:크림로즈 펄:화이트 / 6302032202P113,149990,61,115,0,16,0,화이트,20241128
4474051,마틴콕스,Check muffler 체크머플러 - 9color,17500,56,407,65,17,0,,20241128
4527940,노스페이스,NE3BQ53A 플리스 이어머프 비니_BLACK,43000,0,23,0,18,0,black,20241128
4515557,마리끌레르,미니 코튼캔디 체크 머플러(MAEDSC04MPK),34000,31,64,0,19,0,,20241128
4476684,카테고리9,FLEECE MUFFLER_4color,49124,17,200,0,20,0,,20241128
4578442,노스페이스,NE3BQ53E 플리스 이어머프 비니_COCOA BROWN,43000,0,53,0,21,0,brown,20241128
4489903,락피쉬웨더웨어,STRIPE SHAGGY MUFFLER - 8 colors,42800,18,106,0,22,0,,20241128
