productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,colors,date
4274049,리메인세컨드,빈티지 캣워싱 와이드 데님 팬츠 [옐로우 워싱],24800,43,1200,197,1,0,,20241128
4483613,더콜디스트모먼트,TCM starfish sweat pants (grey),78400,20,147,41,2,0,grey,20241128
4308187,디미트리블랙,[기모선택] VLAD 원턱 피그먼트 페이드 워싱 스웻 팬츠_블랙,23900,49,689,91,3,0,블랙,20241128
4164429,언탭트 스튜디오,빈티지 프론트 워싱 와이드 청바지 데님 팬츠,26900,50,420,83,4,0,,20241128
4293047,더콜디스트모먼트,TCM starfish chino pants (brown),92650,15,286,0,5,0,brown,20241128
4300655,데케트,Balloon Wide Jeans DCPT055Black,37200,40,464,48,6,0,black,20241128
4398163,에스피오나지,Selvedge Relaxed Denim Pants Dark Indigo,98600,15,114,0,7,0,,20241128
4431870,오피쉬,"와이드 레오파드 팬츠, 챠콜",58860,46,310,30,8,0,,20241128
4241658,언탭트 스튜디오,YKK 바이오워싱 와이드 카고 데님팬츠,30650,50,786,85,9,0,,20241128
4358823,브랜디드,1792 OLD SOUL JEANS [WIDE STRAIGHT],66950,35,234,0,10,0,,20241128
4319523,토피,카펜터 퍼티그 워크 코튼 팬츠 (SAND GREY),29500,50,387,51,11,0,grey,20241128
4556222,시그니처,더블니 기모 트레이닝 팬츠[멜란지그레이],24900,58,285,61,12,0,그레이,20241128
4274045,리메인세컨드,빈티지 캣워싱 와이드 데님 팬츠 [샌드 블루],34800,20,470,44,13,0,블루,20241128
4539005,바운더리,(기모) 투턱 와이드 롱 스웨트 팬츠 2color,29900,70,247,55,14,0,,20241128
4309321,어널러코드,엠보워싱 데님팬츠 (진청),28500,50,252,41,15,0,,20241128
4308176,디미트리블랙,바이오워싱 와이드 카펜터 데님 팬츠_더스트블랙,21900,51,230,47,16,1,블랙,20241128
4381625,스켈리웩,스윙 벌룬핏 데님[블랙],47900,27,218,0,17,0,블랙,20241128
4308206,디미트리블랙,VLAD 라운드 슬래쉬 데님 팬츠_더스트 인디고,22900,49,220,34,18,0,,20241128
