productId,brandName,productName,price,discountRate,currentlyViewing,currentlyBuying,ranking,trending,colors,date
4632683,스파오,[제로니] 수면 파자마(LIGHT YELLOW)_SPPPF11U11,49900,0,276,0,1,0,,20241128
4632681,스파오,[제로니] 수면 파자마(LIGHT PURPLE)_SPPPF11U11,49900,0,272,0,2,0,,20241128
4439075,캘빈클라인 언더웨어,남성 코튼 스트레치 로우라이즈 트렁크 5PK (3Color),59500,50,193,30,3,0,,20241128
4252685,캘빈클라인 언더웨어,남성 EU 코튼 스트레치 3PK 로우 라이즈 트렁크 3PK_U2664001,47900,44,65,0,4,0,,20241128
4549604,아르메데스,히트 기모 발열 내의 세트 AR-23+24,15900,50,124,46,5,0,,20241128
4632685,스파오,[제로니] 수면 파자마(SKY BLUE)_SPPPF11U11,49900,0,296,0,6,0,blue,20241128
4512577,코데즈컴바인 이너웨어,톤온톤 컬러밴딩 노와이어 브라팬티세트 - 4Colors,24700,57,190,57,7,0,,20241128
4632680,스파오,[제로니] 수면 파자마(BROWN)_SPPPF11U11,49900,0,173,0,8,0,brown,20241128
4562697,뉴발란스,NBXDFA501M / MEN 코어 모달  드로즈 블랙 5PACK,29940,40,166,0,9,0,블랙,20241128
4240890,캘빈클라인 언더웨어,남성 CK 마이크로 플러스 로우 라이즈 트렁크 3PK_NP2752O001,48200,43,122,0,10,0,,20241128
4632684,스파오,[제로니] 수면 파자마(LIGHT PINK)_SPPPF11U11,49900,0,283,0,11,0,,20241128
4568146,코데즈컴바인 이너웨어,블랙밴드 아스킨 드로즈 5PACK,59800,50,28,0,12,0,블랙,20241128
4549007,아르메데스,[2PACK] 히트기모 발열 내의 하의 AR-23,14900,53,37,0,13,0,,20241128
4276698,코데즈컴바인 이너웨어,[2PACK] 컴포트 푸쉬 브라 팬티 세트,64000,44,0,0,14,0,,20241128
4548660,아르메데스,[2PACK] 히트 기모 발열내의 상의 AR-24,14900,53,14,0,15,0,,20241128
